start_min,end_min,speed_mean,speed_std,dir_mean,dir_std
0,120,32.5,1.0,5.0,20.0
120,240,37.5,4.5,25.0,30.0
240,360,47.5,8.0,25.0,40.0
360,480,37.5,11.5,15.0,50.0
480,600,37.5,15.0,2.5,60.0
600,720,31.5,15.0,5.0,60.0
720,840,30.0,15.0,0.0,60.0
840,960,26.5,15.0,0.0,60.0
960,1080,32.5,15.0,0.0,60.0
1080,1200,30.0,15.0,2.5,60.0
1200,1320,30.0,15.0,5.0,60.0
1320,1440,27.5,15.0,15.0,60.0
1440,1560,25.0,15.0,5.0,60.0
1560,1680,22.5,15.0,7.5,60.0
1680,1800,20.0,15.0,10.0,60.0
1800,1920,25.0,15.0,10.0,60.0
1920,2040,22.5,15.0,15.0,60.0
2040,2160,17.5,15.0,5.0,60.0
2160,2280,12.0,15.0,5.0,60.0
2280,2400,6.5,15.0,5.0,60.0
2400,2520,7.5,15.0,5.0,60.0
2520,2640,7.0,15.0,242.0,60.0
2640,2760,6.0,15.0,235.0,60.0
2760,2880,9.5,15.0,275.0,60.0
2880,3000,5.5,15.0,247.5,60.0
3000,3000,1.0,15.0,106.0,60.0
