folder,run_idx,wind_speed_0,wind_dir_0_f,gpu_runtime_minutes,farsite_runtime_minutes,tp,fp,fn,tn,jaccard,accuracy,dice,kappa,mcc
FARSITE_RUN_01_cali_test_big_enhanced,1,0,30,0.006725893333333488,16.278471,144822,8367,52739,678520,0.7032652189114642,0.9309105792539527,0.8257847469707769,0.7835528390114084,0.7934140738939144
FARSITE_RUN_02_cali_test_big_enhanced,2,15,120,0.0027009450000017904,2.003888,118813,75602,1072,688961,0.6077795454429195,0.9133086399652665,0.7560483614381165,0.7068980008492075,0.7374617918283046
FARSITE_RUN_03_cali_test_big_enhanced,3,15,60,0.004893543333334568,3.590625,132293,3609,26822,721724,0.8129900936555149,0.9655932287709396,0.8968500120332049,0.8763563574940162,0.8802804006487194
FARSITE_RUN_04_cali_test_big_enhanced,4,25,270,0.006824901666666013,23.7042,216726,30010,40164,597548,0.7554060648309515,0.9206578566518325,0.8606624757260348,0.80523230934538,0.80555227670434
FARSITE_RUN_05_cali_test_big_enhanced,5,15,90,0.0031012666666678495,4.174446,132008,72981,14918,664541,0.6002901226427535,0.9006171080719273,0.750226617222909,0.6902879250261844,0.7052038226021119
FARSITE_RUN_06_cali_test_big_enhanced,6,25,120,0.004660783333334469,30.054334,279583,12950,32575,559340,0.8599696100987979,0.9485272169760122,0.9247136140607352,0.8856722234164829,0.8867498244905029
FARSITE_RUN_07_cali_test_big_enhanced,7,15,210,0.004441066666667363,8.931109,131062,20840,35505,697041,0.6993442080605313,0.9362935978146821,0.823075401373446,0.7843286343505228,0.7855672433397248
FARSITE_RUN_08_cali_test_big_enhanced,8,20,240,0.004489121666665596,23.536911,167137,20477,59506,637328,0.6763394302363225,0.9095673233474438,0.8069242040569019,0.7485629419427966,0.754261615406731
FARSITE_RUN_09_cali_test_big_enhanced,9,20,240,0.0067432183333323795,26.712903,194248,48066,16510,625624,0.7505022718140513,0.9269872281920475,0.8574707772716036,0.8087138135826974,0.812270218121116
FARSITE_RUN_10_cali_test_big_enhanced,10,0,210,0.006859563333334032,20.867312,169716,3670,65476,645586,0.7105190444691915,0.921820163537031,0.830764260434972,0.7814356896085188,0.7967890524883061
FARSITE_RUN_11_cali_test_big_enhanced,11,5,210,0.006737029999999322,14.021651,101747,3952,104250,674499,0.4846272189912788,0.8776615470892579,0.6528604794415072,0.5877378904540314,0.6360100582938465
FARSITE_RUN_12_cali_test_big_enhanced,12,10,180,0.0031823866666665407,20.953745,209296,95253,31963,547936,0.62195701787752,0.8561633923079707,0.7669217014041567,0.6649201395886082,0.6743562259922402
FARSITE_RUN_13_cali_test_big_enhanced,13,5,240,0.005286608333333712,3.67385,47005,15600,62498,759345,0.37573039815192283,0.911698596186548,0.5462267878308968,0.5013084496282294,0.5254215080819868
FARSITE_RUN_14_cali_test_big_enhanced,14,15,30,0.0058485850000010945,8.765153,136909,802,103561,643176,0.5674466991611128,0.8820021075292159,0.7240395472009434,0.6559052917043007,0.6971366027223715
FARSITE_RUN_15_cali_test_big_enhanced,15,0,0,0.0027018600000000485,8.096316,131609,4199,44080,704560,0.7316163390554122,0.9454134103983501,0.8450097432720058,0.8125396830131157,0.8224604789772332
FARSITE_RUN_16_cali_test_big_enhanced,16,5,150,0.006487366666666124,10.58188,28259,1776,18812,835601,0.5785206870432166,0.9767222041318426,0.7329909475267813,0.7214413395374866,0.7414055944299682
FARSITE_RUN_17_cali_test_big_enhanced,17,5,0,0.005874431666668064,22.284131,170528,21106,29660,663154,0.7705947743725542,0.9426014870291979,0.8704360653562077,0.8335935105112275,0.833921389526481
FARSITE_RUN_18_cali_test_big_enhanced,18,5,240,0.0045658366666676406,18.364734,131567,108667,12159,632055,0.5212783238837844,0.8633882376352255,0.6853161787686217,0.604991740591857,0.6375560464631687
FARSITE_RUN_19_cali_test_big_enhanced,19,0,300,0.006072156666666236,3.005393,96805,6258,26531,754854,0.7469867432134204,0.9629271590867976,0.8551716217827817,0.8341097653556098,0.8385321632196218
FARSITE_RUN_20_cali_test_big_enhanced,20,20,90,0.003211026666667749,26.79797,214757,50982,20864,597845,0.7493187440466429,0.9187674119903035,0.8566977820328706,0.8003012050270406,0.8031203114472941
FARSITE_RUN_21_cali_test_big_enhanced,21,0,240,0.005076953333332313,11.438796,194119,12060,7102,671167,0.910156085164642,0.9783345092080031,0.952965144820815,0.9388936286692088,0.9390110027467344
FARSITE_RUN_22_cali_test_big_enhanced,22,0,150,0.005012193333332486,1.586986,54537,4595,16278,809038,0.7232064712902798,0.9763999692463547,0.8393729751360169,0.8267484080218528,0.8306632394975725
FARSITE_RUN_23_cali_test_big_enhanced,23,0,210,0.006739669999999857,1.003259,29182,9762,29468,816036,0.42656259135824126,0.9556446506747711,0.5980285673299588,0.5755663320029818,0.5891110087594201
FARSITE_RUN_24_cali_test_big_enhanced,24,15,0,0.0031854983333327405,8.600841,75369,31566,50668,726845,0.4782205922476095,0.9070222330764499,0.6470219597204814,0.5938956660170884,0.5965559050681248
FARSITE_RUN_25_cali_test_big_enhanced,25,0,300,0.006235620000001063,2.755798,33927,3922,59248,787351,0.34941347312481336,0.9285769202937878,0.5178745878617658,0.48662874866858175,0.5448042019582613
FARSITE_RUN_26_cali_test_big_enhanced,26,20,30,0.00577562999999941,3.091479,112118,23724,15593,733013,0.7403704559712088,0.9555462842360433,0.8508193797831936,0.8247302871312056,0.8252726014571632
FARSITE_RUN_27_cali_test_big_enhanced,27,25,30,0.0031553083333335508,5.678714,154263,37799,11491,680895,0.757851763422794,0.9442703245414089,0.862247635656315,0.827553328821575,0.8310811277052755
FARSITE_RUN_28_cali_test_big_enhanced,28,25,90,0.0043081800000000685,41.813519,281576,43577,22950,536345,0.8088870248173673,0.9247813325373566,0.8943477549672134,0.8360478719774086,0.8371301883292694
FARSITE_RUN_29_cali_test_big_enhanced,29,0,60,0.0058092800000016116,0.835894,48792,8798,27732,799126,0.5718571997843463,0.9586974022214986,0.7276197861520796,0.705755425573316,0.7141092372272925
FARSITE_RUN_30_cali_test_big_enhanced,30,10,300,0.0031961683333330865,44.653198,264924,17217,45750,556557,0.8079636220573301,0.9288064419841529,0.8937830520482781,0.8404297056942702,0.8426354312201186
FARSITE_RUN_31_cali_test_big_enhanced,31,15,120,0.005813431666666702,15.021831,180476,2379,81270,620323,0.6832976810222433,0.9054223651362205,0.8118560237156461,0.7513197940931451,0.7728771608075528
FARSITE_RUN_32_cali_test_big_enhanced,32,15,300,0.006251433333333504,8.346057,109309,552,80530,694057,0.5741290292083134,0.9083247404030537,0.7294561227894562,0.6789322520089074,0.7157753228423418
FARSITE_RUN_33_cali_test_big_enhanced,33,15,150,0.005900640000000597,16.689244,208610,11710,19296,644832,0.8706012954059829,0.9649431057563588,0.9308250748506334,0.9073566038588847,0.9075897769967946
FARSITE_RUN_34_cali_test_big_enhanced,34,25,30,0.005664103333333515,19.615291,206606,17107,26007,634728,0.8273506327086336,0.9512532110423677,0.9055192997988281,0.8726891260799189,0.8729906550087972
FARSITE_RUN_35_cali_test_big_enhanced,35,15,30,0.005196933333333694,18.026737,152742,84851,28346,618509,0.5743497568991385,0.8720139567278121,0.7296342561520585,0.647787243305182,0.6580373970502704
FARSITE_RUN_36_cali_test_big_enhanced,36,5,330,0.0030375500000009953,24.368105,156332,33903,34465,659748,0.6957365376056965,0.922699808241977,0.8205715005563837,0.7713103262372983,0.771311689125686
FARSITE_RUN_37_cali_test_big_enhanced,37,0,30,0.004663746666667142,42.05741,253485,104156,31773,495034,0.6509396169629238,0.8463120500018091,0.7885686554186583,0.670236549557663,0.6808154540528114
FARSITE_RUN_38_cali_test_big_enhanced,38,5,60,0.0032078283333324483,15.022459,211018,7397,11671,654362,0.9171266396043218,0.9784407901877782,0.9567720990968116,0.942413212158293,0.9424917303160748
FARSITE_RUN_39_cali_test_big_enhanced,39,20,330,0.0061835316666664164,4.758038,134113,6107,50236,693992,0.7041678917965304,0.9362958591121242,0.8264067116699376,0.7882763659901619,0.7993432949124762
FARSITE_RUN_40_cali_test_big_enhanced,40,10,180,0.006317825000000236,32.297738,277567,14055,22568,570258,0.8834367739266049,0.9585922518904446,0.9381114207352004,0.9070092215681118,0.9072211899710318
FARSITE_RUN_41_cali_test_big_enhanced,41,10,270,0.0065638683333342366,16.025865,80847,954,109913,692734,0.42170629166362394,0.8746483682477658,0.5932396784572994,0.5327487299026793,0.599720907230447
FARSITE_RUN_42_cali_test_big_enhanced,42,25,330,0.006398086666666814,11.76808,163276,2413,70534,648225,0.6911943375539215,0.9175225677484714,0.8174037982573172,0.7661182370292601,0.7850719250200641
FARSITE_RUN_43_cali_test_big_enhanced,43,25,180,0.006653271666666191,4.090571,96220,4919,44397,738912,0.6611422603342129,0.9442409276746626,0.7960091993580304,0.7647094052212446,0.7786460404446636
FARSITE_RUN_44_cali_test_big_enhanced,44,15,240,0.006766201666664529,20.947339,253009,25968,45425,560046,0.7799242914655273,0.9192795958609211,0.8763567025913951,0.8165383122388294,0.8175608822559199
FARSITE_RUN_45_cali_test_big_enhanced,45,10,0,0.0031674083333352123,5.593646,135297,22076,18895,708180,0.7675641636598816,0.9536761912514925,0.8684993500553656,0.840389184083125,0.8404537196794798
FARSITE_RUN_46_cali_test_big_enhanced,46,0,240,0.004993745000001581,4.173374,123377,45622,5481,709968,0.707112563044475,0.9422204584102174,0.8284310927727063,0.7944476055676513,0.8050099032224427
FARSITE_RUN_47_cali_test_big_enhanced,47,10,0,0.005111368333333152,14.276991,158743,12698,9863,703144,0.8755625910073689,0.9744914342052896,0.9336532891041532,0.9178650156841357,0.9179139067282998
FARSITE_RUN_48_cali_test_big_enhanced,48,0,330,0.005242691666668028,25.871103,139412,63076,33293,648667,0.5912774990351216,0.8910405134049713,0.7431481930633034,0.674554249589418,0.6779923354998074
