folder,run_idx,wind_speed_0,wind_dir_0_f,gpu_runtime_minutes,farsite_runtime_minutes,tp,fp,fn,tn,jaccard,accuracy,dice,kappa,mcc
FARSITE_RUN_01_marshall_enhanced,1,20,120,0.003650729999999195,0.084188,9908,7193,3335,124996,0.48483069093756115,0.9276087793608009,0.6530450830477195,0.6133615718144184,0.6196122751666291
FARSITE_RUN_02_marshall_enhanced,2,5,210,0.0003305000000002186,0.084152,8738,6930,1666,128098,0.5040959963078343,0.9408933384674625,0.6702976373120589,0.6392822591848091,0.6554741288690346
FARSITE_RUN_03_marshall_enhanced,3,10,210,0.0003316066666665544,0.668377,31183,7239,13878,93132,0.5962332695984703,0.8547981187083998,0.747050297665393,0.6461241520203933,0.6501604523962801
FARSITE_RUN_04_marshall_enhanced,4,5,210,0.00033742333333369365,0.084156,9896,13019,3250,119267,0.37821517294095164,0.8881332856592772,0.5488477856964588,0.49029239910143374,0.5150068749970896
FARSITE_RUN_05_marshall_enhanced,5,10,120,0.00034090666666675894,0.58496,35465,11591,4864,93512,0.6830701078582434,0.8868543374223005,0.8116953710591063,0.7315103789248383,0.7359570866777794
FARSITE_RUN_06_marshall_enhanced,6,20,240,0.00033362000000067835,1.085953,28966,5688,5241,105537,0.7260558967289134,0.9248514769789318,0.8412889734392471,0.7920626267542349,0.7920912733083012
FARSITE_RUN_07_marshall_enhanced,7,0,0,0.000341041666666797,0.084196,5162,2541,481,137248,0.6307429130009775,0.9792205291820232,0.7735651131425146,0.7629473339197075,0.773107677916133
FARSITE_RUN_08_marshall_enhanced,8,15,0,0.00042873166666671143,0.41826,31143,4619,11187,98483,0.6633368122856717,0.8913169041201386,0.7975977052707064,0.7240281049778043,0.728836354520241
FARSITE_RUN_09_marshall_enhanced,9,5,60,0.00039701166666645805,0.084219,5352,1364,1527,137189,0.6492781754215698,0.980121293800539,0.787348289812431,0.7769231646229671,0.7769846239188782
FARSITE_RUN_10_marshall_enhanced,10,5,270,0.00048039499999958936,0.084049,1332,119,220,143761,0.7971274685816876,0.997669013697123,0.8871128871128872,0.885936581417354,0.8864485992943113
FARSITE_RUN_11_marshall_enhanced,11,5,150,0.0008739749999998973,0.084143,2669,2452,1450,138861,0.4061786638259017,0.9731695912866495,0.5777056277056277,0.564018488369499,0.5675868322516471
FARSITE_RUN_12_marshall_enhanced,12,15,300,0.00042861666666643337,0.167525,21860,512,14153,108907,0.5984941820670774,0.899162495186754,0.7488224715252205,0.6899914285103559,0.7206014973217443
FARSITE_RUN_13_marshall_enhanced,13,20,150,0.0009096016666660489,0.668598,38241,7511,8671,91009,0.7026624772614519,0.8887315033830244,0.8253690753690753,0.7437430470101991,0.7438685649358736
FARSITE_RUN_14_marshall_enhanced,14,15,60,0.000432561666666705,0.75217,30072,4924,10210,100226,0.6652214307835244,0.8959376203311513,0.7989585270596987,0.7292253649682954,0.7325087367050551
FARSITE_RUN_15_marshall_enhanced,15,0,180,0.0007995599999996253,0.084178,1440,670,165,143157,0.6329670329670329,0.9942584850651851,0.775235531628533,0.7723820492028236,0.7798062869762793
FARSITE_RUN_16_marshall_enhanced,16,15,330,0.00038234666666596694,1.085923,30097,5249,17683,92403,0.5675573742669106,0.8423180592991913,0.7241296345307124,0.6171680834039732,0.6309099964680835
FARSITE_RUN_17_marshall_enhanced,17,15,0,0.0006456766666673274,0.08404,15407,27587,323,102115,0.35568021792829607,0.8080890037955883,0.5247258361147061,0.4352888082008768,0.5218777176366617
FARSITE_RUN_18_marshall_enhanced,18,20,180,0.0005998916666669629,0.585412,15333,3857,13224,113018,0.4730363423212192,0.8825499202376368,0.6422602467170713,0.5752126783266407,0.5914848891823671
FARSITE_RUN_19_marshall_enhanced,19,15,0,0.0008625216666672486,0.751775,41556,2910,12984,87982,0.7233420365535248,0.8907118103306012,0.8394642748924308,0.7579151476804351,0.7669978681698224
FARSITE_RUN_20_marshall_enhanced,20,20,300,0.00045618999999987866,1.002808,32074,1547,12697,99114,0.6924737682974221,0.9020573188844271,0.8182977854883151,0.7531012359444103,0.767573183609338
FARSITE_RUN_21_marshall_enhanced,21,15,0,0.0010061766666666471,0.501786,33200,1949,12251,98032,0.70042194092827,0.9023598657791958,0.8238213399503722,0.757803929190136,0.7697804065479977
FARSITE_RUN_22_marshall_enhanced,22,25,180,0.00040417833333303104,1.838021,25916,8789,5954,104773,0.6373988538822892,0.8986261620551186,0.7785505069470522,0.7129728422959843,0.7140613136834383
FARSITE_RUN_23_marshall_enhanced,23,0,270,0.0007741800000000391,0.084293,5946,665,3346,135475,0.597167821633022,0.9724201001155179,0.747783437087342,0.7336337610386818,0.7455454716465958
FARSITE_RUN_24_marshall_enhanced,24,0,330,0.00037610499999990075,0.084201,2732,573,777,141350,0.6692797648211661,0.9907173111832334,0.801878485471089,0.7971301630366378,0.7975049920886014
FARSITE_RUN_25_marshall_enhanced,25,10,90,0.0004883549999997665,0.084253,11011,1191,1131,132099,0.8258456461411535,0.9840337752351614,0.9046171541242195,0.8959049201215934,0.8959081610747811
FARSITE_RUN_26_marshall_enhanced,26,25,150,0.0007048400000002175,1.169795,62439,9142,3879,69972,0.8274450039756163,0.9104667473458387,0.9055758199841913,0.8206872361291723,0.8228512661063296
FARSITE_RUN_27_marshall_enhanced,27,10,180,0.000535978333332802,0.585056,18135,2018,8926,116353,0.6236459300526153,0.9247483359920787,0.7682043461685093,0.7244305946192326,0.7356449859834782
FARSITE_RUN_28_marshall_enhanced,28,25,240,0.0006672366666663265,1.420414,23742,4784,9202,107704,0.629293893129771,0.903831343858298,0.7724743777452416,0.7119038305759997,0.7148702913999739
FARSITE_RUN_29_marshall_enhanced,29,15,270,0.0006696483333333466,0.084212,11454,1347,1722,130909,0.7886800247882669,0.978897354089884,0.8818570273703661,0.8702736060110523,0.8703829596193737
FARSITE_RUN_30_marshall_enhanced,30,0,210,0.0006019483333337424,0.751765,27472,4947,3114,109899,0.7731404609799342,0.9445720336652181,0.8720577731926038,0.8367188458273349,0.8372961677762853
FARSITE_RUN_31_marshall_enhanced,31,0,330,0.0007397566666668354,0.25108,28743,11556,753,104380,0.7001607717041801,0.9153625061884592,0.8236406619385342,0.7697031191783421,0.7859240186449568
FARSITE_RUN_32_marshall_enhanced,32,20,30,0.0006695116666672144,0.251331,33491,2009,9839,100093,0.7386797238580471,0.9185323725177402,0.8497018901433464,0.7945775438784831,0.8020024328056377
FARSITE_RUN_33_marshall_enhanced,33,25,300,0.0007533883333328124,2.087397,66781,10888,3636,64127,0.8213639997540126,0.9001320204631718,0.9019218562186837,0.8006932504438986,0.8046877630388729
FARSITE_RUN_34_marshall_enhanced,34,0,270,0.0005657949999999801,0.084079,9701,2820,2373,130538,0.6513361085000672,0.9642925903515045,0.7888595242935555,0.7693637274931902,0.7695153849368783
FARSITE_RUN_35_marshall_enhanced,35,15,210,0.0007399949999997564,0.084171,2147,1528,2848,138909,0.3291430323470796,0.9699103361020959,0.49527104959630913,0.48013421760367214,0.48614886084932707
FARSITE_RUN_36_marshall_enhanced,36,15,210,0.00040445833333346094,0.08415,8574,1201,1951,133706,0.731195633634658,0.9783266406292975,0.8447290640394088,0.833096418127054,0.8337541680216827
FARSITE_RUN_37_marshall_enhanced,37,5,300,0.0006579749999995481,0.084222,9009,37,5902,130484,0.6026893229863527,0.9591630452720171,0.7520975080352298,0.7312918332479031,0.7584839485584222
FARSITE_RUN_38_marshall_enhanced,38,10,0,0.0005368299999995922,0.084047,3051,323,695,141363,0.7498156795281395,0.993000165025579,0.8570224719101124,0.8534447696181553,0.8546712873231401
FARSITE_RUN_39_marshall_enhanced,39,25,270,0.000774308333332859,2.839558,41016,3764,10346,90306,0.7440409244276748,0.9029787117003135,0.8532379189116099,0.7812817815462789,0.7853801994433429
FARSITE_RUN_40_marshall_enhanced,40,15,210,0.0007067133333331792,2.087841,37568,12266,9945,85653,0.6284481172318038,0.8472757027339237,0.7718368311298756,0.6571594244804256,0.6575815654895105
FARSITE_RUN_41_marshall_enhanced,41,25,150,0.000762528333333042,0.835449,26275,6320,17180,95657,0.5278754394776495,0.8384124539303592,0.6909927679158449,0.5845947553831679,0.5956738452812758
FARSITE_RUN_42_marshall_enhanced,42,15,60,0.00041310999999950583,0.334374,25082,4707,11584,104059,0.6062407850530539,0.8879820122118929,0.7548566699270183,0.6832659841856039,0.6894564441106423
FARSITE_RUN_43_marshall_enhanced,43,20,300,0.000798531666667183,0.334647,26313,1882,11440,105797,0.6638829317522392,0.9083970515429891,0.7979923576150907,0.7403604824846315,0.7535502321947279
FARSITE_RUN_44_marshall_enhanced,44,20,240,0.00038735666666601297,0.501632,45884,5582,6700,87266,0.7888457174294261,0.9155481599647946,0.8819605958673714,0.8162278756425947,0.8163421048805904
FARSITE_RUN_45_marshall_enhanced,45,0,90,0.0007245166666668486,0.336252,16378,8313,3898,116843,0.5728776802266606,0.9160363606358985,0.7284453043342896,0.6793515544629125,0.6839635287787873
FARSITE_RUN_46_marshall_enhanced,46,5,270,0.0006702816666669756,0.084198,8775,493,10393,125771,0.4463150399267586,0.9251471478079102,0.6171754114502743,0.5811940871256744,0.6285710262701385
FARSITE_RUN_47_marshall_enhanced,47,25,90,0.0005281700000002351,1.420008,71993,5526,1474,66439,0.9113845530616637,0.9518675394686177,0.9536380856503252,0.9036693650762845,0.9050775686236794
FARSITE_RUN_48_marshall_enhanced,48,5,300,0.0005530516666671777,0.08439,2384,41,627,142380,0.781127129750983,0.9954067880521481,0.8771155261221486,0.8748028896282618,0.8801271829137872
FARSITE_RUN_49_marshall_enhanced,49,5,90,0.0007774850000004108,0.084415,13338,1156,2005,128933,0.8084126310685497,0.9782647560371858,0.8940577135771023,0.8819587798839063,0.882402367703384
FARSITE_RUN_50_marshall_enhanced,50,25,270,0.0004883416666672247,0.753762,19720,8429,4102,113181,0.6114539084059409,0.9138360195830354,0.7588847626560967,0.7068723610957592,0.710521410037322
