case,run,seed,area_cells,buildings,perimeter_m,compactness
Camp High Uncertainty,0,3875243114,131010,2539,316302.6577630702,0.014809866300307931
Camp High Uncertainty,1,3315316630,89221,2109,234461.3353168996,0.018355955318235945
Camp High Uncertainty,2,2462409349,86816,2156,219445.46519763026,0.020389140765976903
Camp High Uncertainty,3,1713338734,107455,1468,238736.47383763944,0.021322663437890414
Camp High Uncertainty,4,3648708712,94496,1351,216072.82451051116,0.0228910387521744
Camp High Uncertainty,5,997453846,121799,2404,288067.90237262956,0.016599933783496813
Camp High Uncertainty,6,3051723501,116992,3301,299097.51924232964,0.014790502083297664
Camp High Uncertainty,7,1834724067,136054,2209,320783.16641583445,0.014953420570187748
Camp High Uncertainty,8,4083482146,119299,3495,310265.89586073795,0.01401590337531998
Camp High Uncertainty,9,3676052867,108501,1702,243570.3721070867,0.020684126974548214
Camp High Uncertainty,10,2709441123,107189,2056,265554.4673257471,0.01719077155679705
Camp High Uncertainty,11,2874035816,100823,2388,242107.6513277002,0.01945337505370193
Camp High Uncertainty,12,1919358799,108575,2227,254666.17079960663,0.01893388325821383
Camp High Uncertainty,13,1778596665,104731,1490,229621.04094438432,0.0224648881670958
Camp High Uncertainty,14,700826029,102042,2921,256918.88291347513,0.01748393911658439
Camp High Uncertainty,15,163593609,104589,1099,215366.86563345732,0.025502373910904978
Camp High Uncertainty,16,2570548373,88633,1567,210296.28555394444,0.02266650806070897
Camp High Uncertainty,17,2233050180,105716,1538,230639.79202757403,0.022476289651189203
Camp High Uncertainty,18,3769354914,116635,3421,305563.17508135125,0.014127952919165411
Camp High Uncertainty,19,3218738812,103539,1714,250771.46950488078,0.018620875218346905
Camp High Uncertainty,20,3776476320,133772,3621,345644.0949635776,0.012663661991922422
Camp High Uncertainty,21,3880622023,125329,3134,316336.40451350156,0.014164641906400016
Camp High Uncertainty,22,1626778213,99013,2004,236713.8331505199,0.019984685433574005
Camp High Uncertainty,23,3648223693,100149,1356,217688.7747220474,0.02390159706788628
Camp High Uncertainty,24,4280699425,118074,2537,308067.00192404824,0.014070718849886091
Camp High Uncertainty,25,3374353536,107517,1552,233143.10155199084,0.022370947161557637
Camp High Uncertainty,26,2139307571,107090,2895,258367.04525163435,0.018143750073967794
Camp High Uncertainty,27,3990731911,108113,3372,286880.32877950044,0.01485691888479577
Camp High Uncertainty,28,3361935846,98538,1238,207820.47819590714,0.025803548675041314
Camp High Uncertainty,29,1417114442,93715,956,193274.31370412267,0.02837351908093701
Camp High Uncertainty,30,2740752238,120787,2280,278162.1751068582,0.01765535363568251
Camp High Uncertainty,31,2859215444,69087,416,150885.16005698993,0.03432066167965
Camp High Uncertainty,32,3674661238,97672,2254,244752.2811956769,0.018440341415526015
Camp High Uncertainty,33,1292359946,135647,3276,337981.9715947391,0.01342998404131599
Camp High Uncertainty,34,642543170,91325,2058,223383.9933350542,0.02069845614930289
Camp High Uncertainty,35,1924936394,98660,1831,254649.8461232881,0.017207059023591452
Camp High Uncertainty,36,143941698,117248,1043,245715.2963475787,0.021963089455485568
Camp High Uncertainty,37,4256613555,119349,2877,303284.3612369292,0.014674763968268422
Camp High Uncertainty,38,1926103497,102342,1770,235378.75739101175,0.020891601907940167
Camp High Uncertainty,39,3721581235,116028,2380,284635.1101664938,0.01619713641429229
Camp High Uncertainty,40,520420591,90741,1357,198739.30937136378,0.025982945472841693
Camp High Uncertainty,41,3901771551,136191,2404,315751.32875399344,0.015449356988232155
Camp High Uncertainty,42,3909170631,116300,2384,290335.8417650224,0.015603814660104048
Camp High Uncertainty,43,77291068,116755,3027,309394.6469439276,0.013794382710309786
Camp High Uncertainty,44,1982008952,112201,1898,250376.1707996064,0.020242451845212943
Camp High Uncertainty,45,1880856885,94024,1400,207152.31585774777,0.02478058250451992
Camp High Uncertainty,46,2795040560,111960,2769,277629.0885282073,0.016428024001845665
Camp High Uncertainty,47,4108051808,159350,3672,392782.65986568236,0.0116815326641233
Camp High Uncertainty,48,4036577915,107567,2392,279015.85043053987,0.015626930436995267
Camp High Uncertainty,49,3682477873,104417,1283,214242.3071922301,0.025728419693472417
Camp High Uncertainty,50,410655769,106056,2786,268659.3915662391,0.01661818399017562
Camp High Uncertainty,51,3422256373,112392,2079,254468.9630057421,0.019629902068126485
Camp High Uncertainty,52,1551760545,141561,3685,363447.6815294755,0.012120267073844742
Camp High Uncertainty,53,626326492,109473,2799,284397.7595191307,0.015307598113427598
Camp High Uncertainty,54,655152361,93693,1366,207575.69680891393,0.02459271685131687
Camp High Uncertainty,55,2171708922,112095,1820,279333.4240236684,0.016247734170334753
Camp High Uncertainty,56,1265422677,119300,2256,268444.6101792461,0.018723345003693572
Camp High Uncertainty,57,2479229968,105075,2845,263162.62966390606,0.01715944895840639
Camp High Uncertainty,58,656710327,110896,2210,253259.03443249164,0.019554123844947473
Camp High Uncertainty,59,3464377987,108766,3044,284283.78982293396,0.015220935223110207
Camp High Uncertainty,60,2360458905,122714,1980,288611.2833237956,0.01666172162554755
Camp High Uncertainty,61,1088994462,104592,2512,258359.9175500373,0.01772150356884034
Camp High Uncertainty,62,1169781282,94284,1740,224462.95869849215,0.02116415854896498
Camp High Uncertainty,63,1219105804,80637,1428,205532.83317602891,0.02158859195424643
Camp High Uncertainty,64,3225980652,133998,2978,324716.91316626535,0.014372783048384546
Camp High Uncertainty,65,2227296736,81414,866,179946.2401237482,0.02843583023802182
Camp High Uncertainty,66,26284627,110491,2149,285306.6534558189,0.01535166477046005
Camp High Uncertainty,67,187468192,98876,1239,204749.81802412705,0.0266744954471207
Camp High Uncertainty,68,1859734362,102464,2497,250841.24655911472,0.018417292209236203
Camp High Uncertainty,69,1922114839,121186,1587,264912.4067181406,0.019529909371214158
Camp High Uncertainty,70,1119213651,88375,1486,208269.0777600802,0.023042638811616317
Camp High Uncertainty,71,2311882144,120155,2616,297134.3612369287,0.015391766502896906
Camp High Uncertainty,72,2749063808,96057,2246,259381.1664668475,0.016147471040654015
Camp High Uncertainty,73,1752422195,109992,2579,287049.15128943993,0.015097357466370627
Camp High Uncertainty,74,158745940,82850,1131,176311.0929374906,0.030142940135044375
Camp High Uncertainty,75,71570650,103573,1532,223607.66865873573,0.023427478173451147
Camp High Uncertainty,76,3630782409,106205,2580,270753.2097434191,0.01638513821107258
Camp High Uncertainty,77,456365344,94116,1929,238566.03661162555,0.018702454354842236
Camp High Uncertainty,78,492569335,113525,3570,309570.23135619896,0.013397553517839673
Camp High Uncertainty,79,2786452123,115127,2323,266149.3201394896,0.018381410716068445
Camp High Uncertainty,80,2174466311,113312,1668,242243.45868573777,0.021838568198895143
Camp High Uncertainty,81,4186872258,94099,1987,226594.05609628579,0.020727186477523495
Camp High Uncertainty,82,1423191468,132233,3241,332204.7010396428,0.013551291165077979
Camp High Uncertainty,83,3381226701,140529,2578,325620.2941174312,0.01498978489856654
Camp High Uncertainty,84,2807974939,107177,3596,289163.5582116509,0.014496623161378078
