case,run,seed,area_cells,buildings,perimeter_m,compactness
Esperanza High Uncertainty,0,1122842134,414078,3819,1261346.2955567874,0.002943512323205034
Esperanza High Uncertainty,1,3245850790,349174,8440,1323330.2933521506,0.0022550582407323727
Esperanza High Uncertainty,2,2189513490,393004,7383,1426402.115785555,0.0021845671331502344
Esperanza High Uncertainty,3,3366038479,313639,6632,1158233.3843911116,0.0026441754981261036
Esperanza High Uncertainty,4,671840265,339810,5831,1182306.1506006883,0.0027493411413127295
Esperanza High Uncertainty,5,4097898094,321412,5101,1104118.28053244,0.0029818326091932148
Esperanza High Uncertainty,6,1203825534,325605,4456,1088889.3952612714,0.0031058172828936285
Esperanza High Uncertainty,7,3950925313,284342,5977,1054994.139883591,0.00288930435849009
Esperanza High Uncertainty,8,3519794900,344493,5736,1202137.4622787302,0.0026960287084579456
Esperanza High Uncertainty,9,699549296,304296,3434,949791.8001318991,0.003814975781734679
Esperanza High Uncertainty,10,3412570818,367504,4411,1193987.756651241,0.0029155110844105276
Esperanza High Uncertainty,11,2119780079,312831,4178,1026711.659381005,0.0033563339704487634
Esperanza High Uncertainty,12,2676529972,305192,4556,1037291.213489472,0.003207924366997941
Esperanza High Uncertainty,13,306592832,293161,3763,949036.4386653925,0.003681228643191774
Esperanza High Uncertainty,14,6528390,341357,4400,1126307.3800838604,0.0030433179455185647
Esperanza High Uncertainty,15,3696403335,360483,2656,1086718.5835704769,0.0034522558519488517
Esperanza High Uncertainty,16,1851559033,293074,3145,905541.1832877116,0.004042157693844072
Esperanza High Uncertainty,17,1272864914,338762,4132,1093076.3000171038,0.003206609726253871
Esperanza High Uncertainty,18,3644117193,294713,6237,1078303.7480877715,0.0028666154498813335
Esperanza High Uncertainty,19,234361855,320647,6151,1145501.992620799,0.002763680641342542
Esperanza High Uncertainty,20,3593539623,294481,4714,1020032.4083105703,0.003200970797196026
Esperanza High Uncertainty,21,3905599749,303190,2123,904226.3932351985,0.004193849947409294
Esperanza High Uncertainty,22,547938065,288504,2861,871514.8131811947,0.004295904971156512
Esperanza High Uncertainty,23,2468058994,318022,5176,1096922.3303209029,0.002989219334955208
Esperanza High Uncertainty,24,3012193475,332469,5865,1168673.4471523375,0.002753069512502981
Esperanza High Uncertainty,25,3321565591,248060,2458,754246.317603239,0.004931541768046284
Esperanza High Uncertainty,26,3677007535,360368,8174,1354954.3799052916,0.00221998094450652
Esperanza High Uncertainty,27,528618997,391680,4344,1253510.9340902804,0.0028192105793516807
Esperanza High Uncertainty,28,1603421478,318776,5488,1111656.6571508483,0.002917404470158734
Esperanza High Uncertainty,29,1039047061,447453,6893,1498212.2607416534,0.002254514869432088
Esperanza High Uncertainty,30,318220235,383725,7912,1425443.7305016306,0.0021358576857988935
Esperanza High Uncertainty,31,2628243030,323854,2693,996573.0143866353,0.003687936146309447
Esperanza High Uncertainty,32,2554330746,320046,5636,1121589.0034654527,0.0028773804720947536
Esperanza High Uncertainty,33,1660585416,339360,4647,1122490.2523822612,0.0030461260313832212
Esperanza High Uncertainty,34,1255935792,324658,6081,1153134.999107183,0.002761329133331448
Esperanza High Uncertainty,35,691057255,374677,3977,1207391.7891086708,0.0029067854087075793
Esperanza High Uncertainty,36,859398050,311935,3258,970428.1789039316,0.003746188982013467
Esperanza High Uncertainty,37,2361111931,357808,5575,1232230.9687523586,0.0026651286694186877
Esperanza High Uncertainty,38,3251237171,342671,3347,1077482.2047984407,0.003338178170801598
Esperanza High Uncertainty,39,2527644876,340569,1692,972414.2092077315,0.004073379703420597
Esperanza High Uncertainty,40,3361855802,402509,4402,1280404.583417407,0.002776729209313779
Esperanza High Uncertainty,41,3918929966,332120,5719,1176164.0986586006,0.002715260895533847
Esperanza High Uncertainty,42,2210666462,335973,6449,1206771.2003636449,0.002609197035624425
Esperanza High Uncertainty,43,3224813007,322825,5838,1125860.546754778,0.00288038361713703
Esperanza High Uncertainty,44,2886014536,285873,3163,898391.9235517563,0.0040058421753724855
Esperanza High Uncertainty,45,235796192,343294,6955,1262859.9081192447,0.002434491342973752
Esperanza High Uncertainty,46,2029557069,302454,5690,1056143.39961954,0.0030666621108803084
