case,run,seed,area_cells,buildings,perimeter_m,compactness
Esperanza Medium Uncertainty,0,4202229197,286103,5557,1012122.4884028352,0.003158701859215962
Esperanza Medium Uncertainty,1,671891088,288447,5018,994623.8975041801,0.0032976200919610592
Esperanza Medium Uncertainty,2,2797630643,274408,6035,1015954.540344926,0.003006772647725806
Esperanza Medium Uncertainty,3,2140977308,291793,5296,1032202.5424985491,0.00309740071045007
Esperanza Medium Uncertainty,4,759400961,334380,7137,1242113.9752387456,0.002451149331687218
Esperanza Medium Uncertainty,5,2380384290,307067,5920,1098942.7762124382,0.0028756456039540084
Esperanza Medium Uncertainty,6,1317402740,313193,6011,1129787.3800838604,0.0027750510811637296
Esperanza Medium Uncertainty,7,2858817618,275885,4825,962129.1421137415,0.0033706505001229077
Esperanza Medium Uncertainty,8,1376683053,273410,6417,1017248.8044136381,0.0029882187892233056
Esperanza Medium Uncertainty,9,1653694387,268263,4916,935019.0966835471,0.0034703412990755743
Esperanza Medium Uncertainty,10,1379665016,313682,5811,1088187.1203734188,0.0029959517108495187
Esperanza Medium Uncertainty,11,3178466727,310253,5685,1091974.033794768,0.00294268476216434
Esperanza Medium Uncertainty,12,3479189615,288224,5570,1029115.1918511868,0.0030779002143157684
Esperanza Medium Uncertainty,13,1449156993,300162,6864,1114779.672302752,0.002731681126974197
Esperanza Medium Uncertainty,14,2783485614,337358,5710,1175117.9969280486,0.0027629971167572303
Esperanza Medium Uncertainty,15,2279144082,318263,6156,1124708.8519464373,0.0028454980948705577
Esperanza Medium Uncertainty,16,1273950717,301514,7195,1127627.7458831267,0.0026818121187053793
Esperanza Medium Uncertainty,17,2197930655,292909,5313,1035471.1420627219,0.0030896486136410494
Esperanza Medium Uncertainty,18,1102994395,314342,6441,1119823.4190531825,0.0028350171735748884
Esperanza Medium Uncertainty,19,1362103406,317218,6421,1139364.7220657053,0.002763660296645485
Esperanza Medium Uncertainty,20,1819818151,302051,5681,1079169.484019059,0.0029332787701634427
Esperanza Medium Uncertainty,21,259429712,284053,5964,1055693.0338202782,0.0028825472991126917
Esperanza Medium Uncertainty,22,3860517107,268081,5147,939570.7828263699,0.003434467425070586
Esperanza Medium Uncertainty,23,844955343,282743,5998,1055538.403952303,0.0028700942405609693
Esperanza Medium Uncertainty,24,1299416450,299393,7016,1125655.693941039,0.0026722855943808787
Esperanza Medium Uncertainty,25,2454688050,309815,5764,1085150.3584710842,0.002975602930624852
Esperanza Medium Uncertainty,26,301233451,320516,6255,1158001.0294109874,0.0027032374579888975
Esperanza Medium Uncertainty,27,97944243,302436,4003,1006104.18321118,0.0033790914813274947
Esperanza Medium Uncertainty,28,74106626,299357,7074,1139816.4883007973,0.002605985057696858
Esperanza Medium Uncertainty,29,3916470359,317328,4146,1050993.9970300912,0.0032490791936952102
