case,run,seed,area_cells,buildings,perimeter_m,compactness
Marshall High Uncertainty,0,2365439277,61523,4332,396758.22694691696,0.004420160063326813
Marshall High Uncertainty,1,2146068291,72379,5646,459442.94767529104,0.003877946138329879
Marshall High Uncertainty,2,938243790,97094,5866,517071.4324851262,0.004107179447976627
Marshall High Uncertainty,3,3490045011,72756,5384,438671.12734448485,0.004276053066518227
Marshall High Uncertainty,4,2971875056,62314,4904,397632.3394966145,0.004457328134209559
Marshall High Uncertainty,5,2623059367,36833,2784,258998.50844869256,0.006210047762709618
Marshall High Uncertainty,6,2956820132,49783,3711,336756.2984246821,0.00496480257432762
Marshall High Uncertainty,7,294447269,57752,3542,342027.46724922425,0.005583383174095157
Marshall High Uncertainty,8,739141782,57662,4283,366274.3546740226,0.0048610383966174045
Marshall High Uncertainty,9,3051759304,98253,5406,488459.3177818057,0.00465737702104198
Marshall High Uncertainty,10,163339612,47943,3654,327159.8308948639,0.0050659118626419485
Marshall High Uncertainty,11,2468031120,92026,5522,494104.25068781053,0.0042631021466260025
Marshall High Uncertainty,12,3497880553,63690,4345,375275.23779156926,0.005114742859500164
Marshall High Uncertainty,13,1711816137,49563,4039,363623.9975402759,0.004239404782856981
Marshall High Uncertainty,14,3767291803,82742,2937,342633.4347917956,0.007971111935667845
Marshall High Uncertainty,15,856502191,65279,4909,409957.4065906056,0.004392870414281232
Marshall High Uncertainty,16,1332176010,75409,4241,387895.88929783204,0.005668200455881554
Marshall High Uncertainty,17,2417228616,84641,4228,372537.2269724245,0.006897533273310075
Marshall High Uncertainty,18,398164062,63900,4217,328662.48024750064,0.006690413729065774
Marshall High Uncertainty,19,3813659161,87086,5165,474474.625152594,0.004374966520184917
Marshall High Uncertainty,20,2475368926,40851,3461,316883.3806960814,0.004601041390907572
Marshall High Uncertainty,21,643826886,65206,3858,381279.50186028023,0.005072861647148469
Marshall High Uncertainty,22,4226637727,50038,4505,336153.43479179713,0.005008148637033969
Marshall High Uncertainty,23,415944622,68605,5035,431590.1814657073,0.004165479773584216
Marshall High Uncertainty,24,3880947719,54457,3398,335493.06899253104,0.00547191044863081
Marshall High Uncertainty,25,2674686407,32632,2901,249110.35477605092,0.005947199473293584
Marshall High Uncertainty,26,3392884227,65333,3766,350038.41312800307,0.006030503330345051
Marshall High Uncertainty,27,1249173234,76526,4253,404786.166339312,0.005282141887713468
Marshall High Uncertainty,28,2708398225,102745,6496,543798.0882986387,0.003929503834705347
Marshall High Uncertainty,29,2237454365,61381,3094,336003.58631081216,0.006148915251575056
Marshall High Uncertainty,30,3138888672,47496,3650,310792.6490975516,0.005561192557037841
Marshall High Uncertainty,31,1297817892,65676,3573,385095.7464443287,0.00500866083708324
Marshall High Uncertainty,32,1001494829,41045,2724,276471.21189704415,0.0060731331234650885
Marshall High Uncertainty,33,2543459694,59891,4271,396526.0234858125,0.004307948952940135
Marshall High Uncertainty,34,4117525523,66457,2346,242294.11019199944,0.012802871645202902
