run,seed,area_cells,buildings,perimeter_m,compactness
0,1676362391,99837,1768,247202.86994070723,0.01847723060171649
1,786445701,119969,1315,253742.04958439354,0.021073492898964447
2,884249043,122751,3917,338314.62094737624,0.01212930391750067
3,2097662017,107773,2684,285698.0538916455,0.014933024632194529
4,4163750362,129700,2483,314543.3179348505,0.014826253531306814
5,1514179022,102538,1904,248441.03227886665,0.01878843322357987
6,251809261,81489,527,172413.52800987964,0.031003354376792636
7,2637316379,102223,1417,262943.3699279531,0.016721550567012175
8,3175730480,112774,2561,297574.5841826948,0.014403554738170819
9,1989035675,126111,2887,343823.4434573151,0.01206519573244531
10,3858092815,105890,2283,253889.91755003732,0.018578746656725164
11,216309155,118658,2767,327349.1166273708,0.012523538373685717
12,2694963801,100966,2667,254221.6837851286,0.01766860829669151
13,3459955410,99393,3070,257021.82663862748,0.017016418621810574
14,1684400635,150553,2898,348137.47591474326,0.014048832510153871
