run,seed,area_cells,buildings,perimeter_m,compactness
0,1262308246,95683,2789,241533.7530582529,0.01854946967013393
1,3008660986,85412,1806,200244.8223568859,0.02409065863864928
2,1663238854,93096,2512,233254.7876948151,0.019351839857298568
3,2157348836,92027,2654,225824.13618855298,0.020409244230493624
4,250431225,91359,2228,230963.91324278715,0.01936936808019624
5,2150090567,83642,1874,207460.47819590697,0.021978904051520868
6,3545378735,93091,2488,234771.11237113364,0.019101644302080886
7,1363493933,84848,1763,214754.07342732124,0.02080708123708795
8,4030078890,91361,2055,232995.3851053632,0.019033496639029396
9,1704254319,90290,2200,220600.0236388575,0.02098364436818376
10,1007413282,79452,1609,191542.993360563,0.02449202348154931
11,166500149,77217,1083,183345.13406043683,0.025979244744193372
12,1486222087,93997,2717,227998.17731149902,0.02045048518860147
13,2025323020,84412,2130,217439.14918682954,0.020192081181346307
14,1768905594,89641,2220,232159.13185579414,0.018809944927624472
