run,seed,area_cells,buildings,perimeter_m,compactness
0,3937692634,353411,7702,1328026.1007101887,0.0022663094781163098
1,1818637607,300611,3226,916757.0447414597,0.004045281327885312
2,485112966,289604,2875,888939.577237155,0.0041448846134847245
3,4139284573,308068,5106,1069825.8086953727,0.0030441974735383923
4,4082979923,351188,4181,1128316.1939282792,0.003119826183393149
5,2741838075,337923,3442,1060787.0035164745,0.0033963602164705175
6,4287480465,321659,6208,1131173.6246679118,0.0028430830127071944
7,3854365115,357920,5182,1200613.3410635146,0.0028082257059062763
8,1137760306,337650,2313,1002235.7979272568,0.003801712806943977
9,2479254341,342691,6296,1219776.8562026664,0.002604919426237714
10,2306106821,314603,6792,1154704.0445628874,0.002668540872937759
11,2330712336,391491,4618,1260755.644050526,0.002785558694170781
12,2835825537,286242,2012,864549.6032337067,0.004331176674169435
13,1419108422,394033,4693,1246687.3475243847,0.002867278412049314
14,1852236763,320861,9344,1298895.9751877263,0.0021509017058393355
