run,seed,area_cells,buildings,perimeter_m,compactness
0,1355873637,281281,6006,1022874.0944533945,0.0030405238293402955
1,1303377923,270386,6339,1006035.1377554742,0.00302141426519454
2,3596716385,324766,4323,1065117.512169238,0.003237634948385081
3,4098965614,293286,6564,1077967.7177839673,0.002854514120594842
4,4094541195,289760,6479,1059389.7957226106,0.002919975688993846
5,1762911487,292838,5844,1071676.3346791777,0.0028837162487928172
6,2125701180,286929,4285,964009.2135404913,0.0034919213133882735
7,3921819592,302534,4323,992745.0749942428,0.0034717710752974673
8,2244104582,350866,6135,1248577.7133236565,0.002545437874913678
9,3841554601,272805,6391,1028737.6182580586,0.002915381925962241
10,102459828,299178,6537,1107793.7220912166,0.002757174344634332
11,1472229394,285765,3369,912349.2655336028,0.0038827475649368805
12,3435704623,278265,6802,1049171.6420499706,0.0028590244590945206
13,3947192910,336048,5907,1181088.3627273135,0.0027245131453033197
14,3449486621,315884,4578,1046709.1442163459,0.0032608285572963444
