run,seed,area_cells,buildings,perimeter_m,compactness
0,3362385460,49808,2755,296179.3569041691,0.006421580115835058
1,921609013,50838,2693,291566.7876437989,0.006763394597312197
2,91890800,65933,3890,366079.94775181264,0.00556420764719391
3,713307504,72760,5176,422108.718268649,0.004618451841871314
4,2892035471,77466,5781,502004.8221018085,0.003476543975587395
5,1219931383,67147,3948,370628.6187427346,0.005528420710667747
6,836092888,58226,4055,336896.88716971176,0.005801968051284998
7,3949021085,41407,3544,321927.70752602536,0.004518657515392277
8,2870725566,60254,3570,305194.7097051577,0.007316177848111053
9,575587450,99279,5234,484885.6154102673,0.004775635439449402
10,2622750384,72739,4589,400936.90660335973,0.0051176152168882025
11,1829813114,50861,4114,336357.77028725867,0.00508433711389584
12,3772026253,82804,3473,341656.53003596433,0.008022768093493891
13,2819496314,40481,2550,206475.90242364403,0.010739025161889047
14,3183409475,87293,4618,425241.2961945329,0.005459601269468866
