run,seed,area_cells,buildings,perimeter_m,compactness
0,2825205665,49625,3134,311476.833073996,0.005784973747960988
1,3383223110,74915,4575,421734.3113464378,0.0047636877429454135
2,3049089287,62929,4756,396555.3546485158,0.004525802176373469
3,2144443433,52759,3721,339311.2940919229,0.005182654977275147
4,1128534284,67330,5452,443227.2290750375,0.003876217359938517
5,2315755207,61721,4295,368770.59925807454,0.00513301755132522
6,1856506043,54599,3501,326570.27678639506,0.00579006918795283
7,121099757,64833,4674,394982.9282416445,0.004699934886252243
8,1426548041,61938,3472,294087.5192423284,0.008099465565476091
9,4260961560,64157,5245,426908.7182686487,0.003981313472210705
10,2176403546,73694,4956,441691.5645704983,0.004272148035221783
11,3740861372,58680,4265,341823.86335229286,0.005679861187731599
12,2103111340,61364,4429,389498.7442651995,0.004574608272650156
13,2205532091,67119,4177,395573.66850569117,0.00485113210003196
14,3670847588,52503,3761,341970.63392014295,0.0050776044521172676
