strategy,n_runs,mean_norm_area,std_norm_area,mean_norm_bldg,std_norm_bldg,mean_composite,std_composite
MCTS,50,0.6767818931335039,0.05970982291251348,0.16876080053133985,0.11560004301850095,0.3381011647320612,0.09220546776864612
Structures–Outcome (Truth),50,0.7342768422746531,0.05458692141400948,0.18900920487923717,0.10394525821501394,0.3707650840110424,0.0818883290250414
Structures–Outcome (Mean),50,0.747163781428399,0.054077917630699274,0.1887118697433337,0.1199762377642864,0.37486250697168877,0.09250073160064176
Structures–Exposure,50,0.7404197386712749,0.05120510705137602,0.1973904836982127,0.11164828953767267,0.37840023535590006,0.08633377987057635
ROS–Mean,50,0.7189795352565551,0.05842816567608085,0.34464425296274576,0.21443594466477592,0.4694226803940155,0.15829257521095003
ROS–Truth,50,0.7235833414517328,0.061464837141447265,0.36612037742451214,0.21201948896162875,0.48527469876691903,0.15547373518448504
Wind–Mean Lookahead,50,0.7676276180285312,0.06274246141240673,0.5887754253429172,0.19540715676047613,0.6483928229047885,0.1443294370233809
Wind–Truth Lookahead,50,0.7702404182247544,0.0606891425785577,0.6245419256361876,0.18539649947044173,0.6731080898323765,0.13623177066702008
Random Allocation,50,0.7836736843742155,0.0602056883318505,0.6408477544841914,0.26179572744832624,0.6884563977808661,0.1885352749485977
Wind–Truth,50,0.7866661665372037,0.06661676581412923,0.6594587156538939,0.16188844003190572,0.7018611992816639,0.12637308604528982
Wind–Mean,50,0.7890378532487771,0.06741225382638444,0.6650887681619365,0.15581223958475154,0.70640512985755,0.12217097064681964
