strategy,n_runs,mean_norm_area,std_norm_area,se_norm_area,mean_norm_bldg,std_norm_bldg,se_norm_bldg,mean_composite,std_composite,se_composite
MCTS,50,0.606611631277056,0.04493245577475292,0.0063544088347384856,0.09006351684046708,0.05380329612769512,0.007608935108416226,0.2622462216526633,0.043888671485662945,0.0062067954449561875
Structures–Outcome (Truth),50,0.6822069271774275,0.03459165712073226,0.004891999064509941,0.10104832809811205,0.07716658245573657,0.01091300274708844,0.2947678611245505,0.059902415453584254,0.008471480835336652
Structures–Outcome (Mean),50,0.6821824781546723,0.03757718955370762,0.0053142171102717895,0.10963298464344015,0.0965930937620262,0.013660326322983344,0.30048281581385083,0.07428495385955772,0.010505478922844612
Structures–Exposure,50,0.6854033551048692,0.032406782978419424,0.00458301120009623,0.12363022252404868,0.08788439861480117,0.012428730844205508,0.31088793338432213,0.06491964411626472,0.009181024117365627
ROS–Truth,50,0.6830879570104271,0.049175007171442506,0.006954396207164819,0.2682906107604829,0.18295818267177064,0.025874194328155225,0.4065563928437976,0.13274542252269236,0.01877303768745384
ROS–Mean,50,0.6859146352244478,0.048154206514639114,0.00681003319383175,0.2760523524153297,0.166213737783911,0.02350617222267323,0.4126731133517024,0.12407212214723484,0.017546447785303076
Wind–Mean Lookahead,50,0.7352315291761186,0.06122093950889217,0.008657948295469816,0.48911116129813287,0.1465580852574117,0.0207264431846464,0.5711512839241281,0.11453873643649921,0.016198223448557456
Wind–Truth Lookahead,50,0.7288187557715343,0.06869544053722619,0.009715002368093976,0.49582580930950315,0.15759625019680684,0.022287475440746777,0.5734901247968469,0.12442677182504816,0.01759660282372856
Wind–Mean,50,0.7348463069243292,0.05525334425076178,0.007814002880589678,0.5126024588546523,0.15840367333995264,0.022401662316707847,0.5866837415445445,0.11965985960503321,0.01692245963250984
Wind–Truth,50,0.7326635327815487,0.05390620273551973,0.007623488300460563,0.5147911251995212,0.154125605891739,0.021796652216106792,0.587415261060197,0.11591490547130186,0.01639284313987103
Random Allocation,50,0.7672189692294338,0.07996477938851196,0.01130872755234061,0.6581189023045272,0.22831363693559384,0.03228842418290436,0.694485591279496,0.17270752351334542,0.024424532207644328
