strategy,n_runs,mean_norm_area,std_norm_area,mean_norm_bldg,std_norm_bldg,mean_composite,std_composite
MCTS,50,0.606611631277056,0.04493245577475292,0.09006351684046708,0.05380329612769512,0.2622462216526633,0.043888671485662945
Structures–Outcome (Truth),50,0.6822069271774275,0.03459165712073226,0.10104832809811205,0.07716658245573657,0.2947678611245505,0.059902415453584254
Structures–Outcome (Mean),50,0.6821824781546723,0.03757718955370762,0.10963298464344015,0.0965930937620262,0.30048281581385083,0.07428495385955772
Structures–Exposure,50,0.6854033551048692,0.032406782978419424,0.12363022252404868,0.08788439861480117,0.31088793338432213,0.06491964411626472
ROS–Truth,50,0.6830879570104271,0.049175007171442506,0.2682906107604829,0.18295818267177064,0.4065563928437976,0.13274542252269236
ROS–Mean,50,0.6859146352244478,0.048154206514639114,0.2760523524153297,0.166213737783911,0.4126731133517024,0.12407212214723484
Wind–Mean Lookahead,50,0.7352315291761186,0.06122093950889217,0.48911116129813287,0.1465580852574117,0.5711512839241281,0.11453873643649921
Wind–Truth Lookahead,50,0.7288187557715343,0.06869544053722619,0.49582580930950315,0.15759625019680684,0.5734901247968469,0.12442677182504816
Wind–Mean,50,0.7348463069243292,0.05525334425076178,0.5126024588546523,0.15840367333995264,0.5866837415445445,0.11965985960503321
Wind–Truth,50,0.7326635327815487,0.05390620273551973,0.5147911251995212,0.154125605891739,0.587415261060197,0.11591490547130186
Random Allocation,50,0.7672189692294338,0.07996477938851196,0.6581189023045272,0.22831363693559384,0.694485591279496,0.17270752351334542
