run,seed,run_uid,strategy,norm_area,norm_bldg,composite
0,3883358208,0|3883358208,MCTS,0.3126349570762129,0.05083944194845117,0.1381046136577051
0,3883358208,0|3883358208,ROS–Mean,0.8889651045184591,0.47812721683613146,0.6150731793969073
0,3883358208,0|3883358208,ROS–Truth,0.7174414413153263,0.2603452352802081,0.41271063729191415
0,3883358208,0|3883358208,Random Allocation,0.5644906715569104,0.07188460628990305,0.23608662804557212
0,3883358208,0|3883358208,Structures–Exposure,0.5511673240264717,0.38425159612201465,0.439890172090167
0,3883358208,0|3883358208,Structures–Outcome (Mean),0.7816223896632941,0.6684795459919602,0.7061938272157382
0,3883358208,0|3883358208,Structures–Outcome (Truth),0.7618106033828074,0.5991960274296524,0.653400886080704
0,3883358208,0|3883358208,Wind–Mean,0.7823153297239789,0.34972806810120594,0.4939238219754636
0,3883358208,0|3883358208,Wind–Mean Lookahead,0.630589454012228,0.16363206431780564,0.3192845275492797
0,3883358208,0|3883358208,Wind–Truth,0.7747069878455514,0.37881295814613386,0.5107776347126063
0,3883358208,0|3883358208,Wind–Truth Lookahead,0.6576176160762094,0.1983920548593048,0.3514672419316063
10,2326447626,10|2326447626,MCTS,0.6197120137004414,0.21049324536600691,0.34689950147748505
10,2326447626,10|2326447626,ROS–Mean,0.865067022609506,0.4938737040527804,0.6176048102383556
10,2326447626,10|2326447626,ROS–Truth,0.825930100045962,0.6597549481621112,0.7151466654567281
10,2326447626,10|2326447626,Random Allocation,0.8323301453783047,0.748664781652529,0.7765532362277876
10,2326447626,10|2326447626,Structures–Exposure,0.7188104037726583,0.5651900722588753,0.6163968494301363
10,2326447626,10|2326447626,Structures–Outcome (Mean),0.8010602731273649,0.7188187244737669,0.7462325740249662
10,2326447626,10|2326447626,Structures–Outcome (Truth),0.7760865595899942,0.3056864593151115,0.46248649274007236
10,2326447626,10|2326447626,Wind–Mean,0.8860961927128259,0.8341187558906692,0.8514445681647214
10,2326447626,10|2326447626,Wind–Mean Lookahead,0.5959849395883572,0.27992459943449577,0.38527804615244954
10,2326447626,10|2326447626,Wind–Truth,0.8865054430292079,0.8341187558906692,0.8515809849368488
10,2326447626,10|2326447626,Wind–Truth Lookahead,0.5736115395996902,0.29123468426013194,0.38536030270665134
1,3883358209,1|3883358209,MCTS,0.513697330673397,0.5588405797101449,0.5437928300312289
1,3883358209,1|3883358209,ROS–Mean,0.5433858996544766,0.7171014492753623,0.6591962660684004
1,3883358209,1|3883358209,ROS–Truth,0.5476057698388516,0.7426086956521739,0.6776077203810664
1,3883358209,1|3883358209,Random Allocation,0.843939542023353,0.7286956521739131,0.7671102821237263
1,3883358209,1|3883358209,Structures–Exposure,0.8706241843404872,0.6620289855072464,0.7315607184516599
1,3883358209,1|3883358209,Structures–Outcome (Mean),0.7592086881033006,0.5797101449275363,0.6395429926527909
1,3883358209,1|3883358209,Structures–Outcome (Truth),0.8381961492247282,0.5147826086956522,0.6225871222053441
1,3883358209,1|3883358209,Wind–Mean,0.8368163551589926,0.7130434782608696,0.7543011038935772
1,3883358209,1|3883358209,Wind–Mean Lookahead,0.7159406458586056,0.601159420289855,0.6394198288127719
1,3883358209,1|3883358209,Wind–Truth,0.8338440487757203,0.7014492753623188,0.7455808665001193
1,3883358209,1|3883358209,Wind–Truth Lookahead,0.738488780549503,0.7275362318840579,0.7311870814392063
2,3204768514,2|3204768514,MCTS,0.46916607942780686,0.12086642599277979,0.23696631047112215
2,3204768514,2|3204768514,ROS–Mean,0.6967395049809237,0.25703971119133573,0.4036063091211984
2,3204768514,2|3204768514,ROS–Truth,0.8054319853226503,0.33732851985559564,0.49336300834461383
2,3204768514,2|3204768514,Random Allocation,0.8823825237715325,0.7187003610108303,0.7732610819310644
2,3204768514,2|3204768514,Structures–Exposure,0.8531457894197666,0.4876534296028881,0.6094842162085142
2,3204768514,2|3204768514,Structures–Outcome (Mean),0.4665366980309131,0.11971119133574007,0.23531969356746438
2,3204768514,2|3204768514,Structures–Outcome (Truth),0.4664808197957961,0.12072202166064983,0.2359749543723652
2,3204768514,2|3204768514,Wind–Mean,0.8608352554411431,0.8987725631768954,0.8861267939316446
