strategy,n_runs,mean_norm_area,std_norm_area_x,mean_norm_bldg,std_norm_bldg_x,mean_composite,std_composite_x,std_norm_area_y,se_norm_area,std_norm_bldg_y,se_norm_bldg,std_composite_y,se_composite
MCTS,10,0.3135015857090263,0.18392637289817715,0.07946219746177824,0.08597945941426559,0.1574753268775276,0.11336686163635545,0.18392637289817715,0.05816262601317044,0.08597945941426559,0.027189092373908586,0.11336686163635545,0.03584974939560465
Wind–Truth Lookahead,10,0.5700120255141582,0.271747321055472,0.3719222735212772,0.2904315929087163,0.4379521908522375,0.2733886265928519,0.271747321055472,0.08593404825843233,0.2904315929087163,0.09184253380623505,0.2733886265928519,0.08645307464186905
Structures–Outcome (Mean),10,0.6454093913435677,0.13585936206209845,0.3821025944245989,0.2060899146429447,0.46987152673092175,0.17417612025291368,0.13585936206209845,0.042962502557370136,0.2060899146429447,0.06517135330613923,0.17417612025291368,0.05507932540105901
Wind–Mean Lookahead,10,0.5833553831478865,0.2700885983440474,0.4443293362263224,0.3203976165881183,0.4906713518668438,0.2939050063657162,0.2700885983440474,0.08540951408095714,0.3203976165881183,0.10131862253078001,0.2939050063657162,0.09294092358419494
Structures–Outcome (Truth),10,0.6692553574542798,0.13237400793273052,0.4099277427858036,0.215794382132525,0.496370281008629,0.1768345583284543,0.13237400793273052,0.04186033680726256,0.215794382132525,0.06824017538075221,0.1768345583284543,0.05591999733478132
ROS–Mean,10,0.7585287770588612,0.07082117465238769,0.4336517198066819,0.1413432551926163,0.5419440722240749,0.10589681972300774,0.07082117465238769,0.02239562184701286,0.1413432551926163,0.04469666183110888,0.10589681972300774,0.03348751472929457
ROS–Truth,10,0.7798440687624207,0.09809430021230747,0.46067438746863865,0.16660847361687947,0.5670642812332327,0.13457141303839174,0.09809430021230747,0.03102014141512302,0.16660847361687947,0.05268622541134108,0.13457141303839174,0.04255521731485979
Structures–Exposure,10,0.6862008760083335,0.1232494669338602,0.5377063549329791,0.17062192229998488,0.5872045286247639,0.14499001759286712,0.1232494669338602,0.03897490359126075,0.17062192229998488,0.05395538932242273,0.14499001759286712,0.04584986935813439
Random Allocation,10,0.7788670250214214,0.1352286540272494,0.6728456578471782,0.1771373131138725,0.7081861135719258,0.15450392160256035,0.1352286540272494,0.04276305516450095,0.1771373131138725,0.056015736804225016,0.15450392160256035,0.04885842996921833
Wind–Mean,10,0.8008292548931776,0.10286221212356284,0.6735326085659011,0.22147867787624942,0.7159648240083266,0.17939604543449558,0.10286221212356284,0.03252788754738437,0.22147867787624942,0.07003770752516923,0.17939604543449558,0.056730010680005695
Wind–Truth,10,0.7931081672859677,0.08125056923597387,0.6824031018279892,0.19115458663847631,0.719304790313982,0.14951797152479526,0.08125056923597387,0.025693685997088433,0.19115458663847631,0.06044838789655746,0.14951797152479526,0.04728173411465517
