strategy,wins,dataset
ics_buildings,0,Esperanza (Low Uncertainty)
ics_dynamic,0,Esperanza (Low Uncertainty)
ics_dynamic_mean,0,Esperanza (Low Uncertainty)
ics_dynamic_mean_lookahead,0,Esperanza (Low Uncertainty)
ics_dynamic_truth_lookahead,2,Esperanza (Low Uncertainty)
ics_mean_burned_buildings,0,Esperanza (Low Uncertainty)
ics_ros_weighted,0,Esperanza (Low Uncertainty)
ics_ros_weighted_mean,0,Esperanza (Low Uncertainty)
ics_truth_burned_buildings,0,Esperanza (Low Uncertainty)
mcts,8,Esperanza (Low Uncertainty)
random,0,Esperanza (Low Uncertainty)
ics_buildings,0,Esperanza (High Uncertainty)
ics_dynamic,0,Esperanza (High Uncertainty)
ics_dynamic_mean,0,Esperanza (High Uncertainty)
ics_dynamic_mean_lookahead,0,Esperanza (High Uncertainty)
ics_dynamic_truth_lookahead,0,Esperanza (High Uncertainty)
ics_mean_burned_buildings,3,Esperanza (High Uncertainty)
ics_ros_weighted,0,Esperanza (High Uncertainty)
ics_ros_weighted_mean,0,Esperanza (High Uncertainty)
ics_truth_burned_buildings,0,Esperanza (High Uncertainty)
mcts,7,Esperanza (High Uncertainty)
random,0,Esperanza (High Uncertainty)
