strategy,n_runs,mean_norm_area,std_norm_area,mean_norm_bldg,std_norm_bldg,mean_composite,std_composite
MCTS,100,0.597559577008619,0.1732305909666971,0.46802786834457133,0.19929518074878924,0.5112051045659205,0.18164943868618086
Structures–Outcome (Truth),100,0.6859227031318237,0.15161269361940705,0.5053234071706731,0.20554976101543163,0.5655231724910567,0.18267676751704537
Structures–Outcome (Mean),100,0.765252597562585,0.10862134452552803,0.6221744528018752,0.14728769739357364,0.6698671677221119,0.12847606185212646
Structures–Exposure,100,0.765495805941906,0.10205423266424739,0.6392096538847042,0.13831324861833116,0.6813050379037713,0.11918964930707848
ROS–Mean,100,0.7642784232265513,0.11139812820015717,0.6521774925666626,0.14977305234761124,0.6895444694532921,0.13180892249275009
Wind–Truth,100,0.7337799139230852,0.12433565088993179,0.6687095864088622,0.16120124485692278,0.6903996955802699,0.14344810261555616
Wind–Mean,100,0.7330053454665488,0.12772039694623227,0.6691303426275748,0.1625833002617787,0.690422010240566,0.1456823245777562
Random Allocation,100,0.7398675942083334,0.14069756243402007,0.666130852441103,0.15818123629343742,0.6907097663635132,0.14709713113354356
ROS–Truth,100,0.7665841092411566,0.12937494903317398,0.6588000670277221,0.16226263373336192,0.6947280810988669,0.14635944010806043
Wind–Mean Lookahead,100,0.7571466118500798,0.11726865005053541,0.6952146196862407,0.15374155151039862,0.715858617074187,0.13472561371268943
Wind–Truth Lookahead,100,0.7580087278235897,0.1207958723304635,0.7021076928682297,0.1414483364349737,0.720741371186683,0.12806399977894112
