run,seed,run_uid,strategy,norm_area,norm_bldg,composite
0,1453340416,0|1453340416,MCTS,0.4361606098091003,0.35073068893528186,0.37920732922655465
0,1453340416,0|1453340416,ROS–Mean,0.6840292868844238,0.6897703549060543,0.6878566655655107
0,1453340416,0|1453340416,ROS–Truth,0.4990137407642673,0.48768267223382045,0.4914596950773027
0,1453340416,0|1453340416,Random Allocation,0.5354886162281435,0.6242171189979123,0.5946409514079893
0,1453340416,0|1453340416,Structures–Exposure,0.6052288455752064,0.649686847599165,0.6348675135911788
0,1453340416,0|1453340416,Structures–Outcome (Mean),0.5810571361706396,0.6359081419624217,0.617624473365161
0,1453340416,0|1453340416,Structures–Outcome (Truth),0.7177961285145933,0.7064718162839249,0.710246587027481
0,1453340416,0|1453340416,Wind–Mean,0.7056601250376116,0.713152400835073,0.7106549755692525
0,1453340416,0|1453340416,Wind–Mean Lookahead,0.5966701213600347,0.649686847599165,0.6320146055194549
0,1453340416,0|1453340416,Wind–Truth,0.7056601250376116,0.713152400835073,0.7106549755692525
0,1453340416,0|1453340416,Wind–Truth Lookahead,0.5966701213600347,0.649686847599165,0.6320146055194549
100,131957860,100|131957860,MCTS,0.45621565934065933,0.3228711790393013,0.36731933913975395
100,131957860,100|131957860,ROS–Mean,0.8761637667887668,0.75,0.7920545889295889
100,131957860,100|131957860,ROS–Truth,0.8708218864468864,0.7450873362445415,0.7869988529786565
100,131957860,100|131957860,Random Allocation,0.8647359584859585,0.7388100436681223,0.780785348607401
100,131957860,100|131957860,Structures–Exposure,0.851820054945055,0.7000545851528385,0.7506430750835773
100,131957860,100|131957860,Structures–Outcome (Mean),0.8511141636141636,0.7167030567685589,0.7615067590504272
100,131957860,100|131957860,Structures–Outcome (Truth),0.5682997557997558,0.32641921397379914,0.407046061249118
100,131957860,100|131957860,Wind–Mean,0.717700702075702,0.7726528384279476,0.7543354596438656
100,131957860,100|131957860,Wind–Mean Lookahead,0.8704784798534798,0.775382096069869,0.8070808906644058
100,131957860,100|131957860,Wind–Truth,0.717700702075702,0.7726528384279476,0.7543354596438656
100,131957860,100|131957860,Wind–Truth Lookahead,0.8705547924297924,0.7756550218340611,0.8072882786993049
101,131957861,101|131957861,MCTS,0.2699929228591649,0.11426947129050596,0.16617728848005892
101,131957861,101|131957861,ROS–Mean,0.8375132696390658,0.7646389994314952,0.7889304228340186
101,131957861,101|131957861,ROS–Truth,0.8402556617126681,0.7572484366117112,0.7849175116453634
101,131957861,101|131957861,Random Allocation,0.7484961075725407,0.8175099488345651,0.7945053350805569
101,131957861,101|131957861,Structures–Exposure,0.7914012738853503,0.6503695281409893,0.6973801100557763
101,131957861,101|131957861,Structures–Outcome (Mean),0.7876415428167021,0.6489482660602615,0.6951793583124083
101,131957861,101|131957861,Structures–Outcome (Truth),0.8580148619957537,0.7947697555429221,0.8158514576938658
101,131957861,101|131957861,Wind–Mean,0.8398796886058033,0.7606594656054576,0.7870662066055728
101,131957861,101|131957861,Wind–Mean Lookahead,0.7044187898089171,0.7148948266060261,0.711402814340323
101,131957861,101|131957861,Wind–Truth,0.8398796886058033,0.7606594656054576,0.7870662066055728
101,131957861,101|131957861,Wind–Truth Lookahead,0.7044187898089171,0.7148948266060261,0.711402814340323
102,2819133286,102|2819133286,MCTS,0.320290516389079,0.26710402999062793,0.2848328587901116
102,2819133286,102|2819133286,ROS–Mean,0.8041105787512358,0.6717432052483598,0.7158656630826518
102,2819133286,102|2819133286,ROS–Truth,0.7650201536238497,0.6131677600749765,0.6637852245912675
102,2819133286,102|2819133286,Random Allocation,0.7420526275762416,0.6265229615745079,0.6650328502417524
102,2819133286,102|2819133286,Structures–Exposure,0.8149669176363221,0.6647141518275539,0.7147984070971433
102,2819133286,102|2819133286,Structures–Outcome (Mean),0.8182751540041068,0.6907216494845361,0.733239484324393
102,2819133286,102|2819133286,Structures–Outcome (Truth),0.47056810403832994,0.3006091846298032,0.35726215776597875
102,2819133286,102|2819133286,Wind–Mean,0.7446383755418663,0.7190721649484536,0.7275942351462578
102,2819133286,102|2819133286,Wind–Mean Lookahead,0.7578903338656932,0.7136832239925024,0.7284189272835659
102,2819133286,102|2819133286,Wind–Truth,0.7446383755418663,0.7190721649484536,0.7275942351462578
102,2819133286,102|2819133286,Wind–Truth Lookahead,0.7725302304357746,0.7427366447985004,0.7526678400109251
103,2819133287,103|2819133287,MCTS,0.47199619113573404,0.4108626198083067,0.4312404769174491
103,2819133287,103|2819133287,ROS–Mean,0.7732860110803325,0.6449414270500532,0.6877229550601462
103,2819133287,103|2819133287,ROS–Truth,0.866747460757156,0.660915867944622,0.7295263988821332
103,2819133287,103|2819133287,Random Allocation,0.8843490304709142,0.7840255591054313,0.8174667162272589
103,2819133287,103|2819133287,Structures–Exposure,0.8603127885503232,0.6668796592119276,0.7313573689913928
103,2819133287,103|2819133287,Structures–Outcome (Mean),0.8302314173591875,0.6820021299254526,0.7314118924033641
103,2819133287,103|2819133287,Structures–Outcome (Truth),0.6442030240073869,0.3810436634717785,0.4687634503169813
103,2819133287,103|2819133287,Wind–Mean,0.6156365420129271,0.7301384451544196,0.6919711441072554
103,2819133287,103|2819133287,Wind–Mean Lookahead,0.8977377654662974,0.7831735889243876,0.8213616477716907
103,2819133287,103|2819133287,Wind–Truth,0.6156365420129271,0.7301384451544196,0.6919711441072554
103,2819133287,103|2819133287,Wind–Truth Lookahead,0.8965979916897507,0.7831735889243876,0.8209817231795086
104,2819133288,104|2819133288,MCTS,0.8171990666912863,0.6992466679544137,0.7385641342000379
104,2819133288,104|2819133288,ROS–Mean,0.8275896798885402,0.7090979331659262,0.7485951820734641
104,2819133288,104|2819133288,ROS–Truth,0.8154868816410119,0.7297662739038053,0.7583398098162075
104,2819133288,104|2819133288,Random Allocation,0.7652124284491296,0.7653080934904385,0.7652762051433355
104,2819133288,104|2819133288,Structures–Exposure,0.7852047068302754,0.625072435773614,0.6784498594591678
104,2819133288,104|2819133288,Structures–Outcome (Mean),0.8387692410991556,0.7479235078230636,0.7782054189150942
104,2819133288,104|2819133288,Structures–Outcome (Truth),0.8260285699897605,0.7156654433069345,0.7524531522012098
104,2819133288,104|2819133288,Wind–Mean,0.8219495408994008,0.8149507436739425,0.8172836760824285
104,2819133288,104|2819133288,Wind–Mean Lookahead,0.8672553002198983,0.7909986478655592,0.8164175319836722
104,2819133288,104|2819133288,Wind–Truth,0.8219495408994008,0.8149507436739425,0.8172836760824285
104,2819133288,104|2819133288,Wind–Truth Lookahead,0.8672553002198983,0.7909986478655592,0.8164175319836722
105,2819133289,105|2819133289,MCTS,0.8484241410859071,0.6908674849178281,0.7433863703071878
105,2819133289,105|2819133289,ROS–Mean,0.8770703852099567,0.7672144788849594,0.8038331143266252
105,2819133289,105|2819133289,ROS–Truth,0.9262548506167776,0.8912003328479301,0.9028851721042125
105,2819133289,105|2819133289,Random Allocation,0.9045651007981828,0.8770542958185978,0.8862245641451261
105,2819133289,105|2819133289,Structures–Exposure,0.8611382780704798,0.7715831079675474,0.8014348313351914
105,2819133289,105|2819133289,Structures–Outcome (Mean),0.8390383948007698,0.6883711254420637,0.7385935485616324
105,2819133289,105|2819133289,Structures–Outcome (Truth),0.8472568381865792,0.7231121281464531,0.7644936981598285
105,2819133289,105|2819133289,Wind–Mean,0.8682367416474746,0.7688787185354691,0.8019980595728041
105,2819133289,105|2819133289,Wind–Mean Lookahead,0.9037921569864656,0.8822550447264406,0.8894340821464488
105,2819133289,105|2819133289,Wind–Truth,0.8682367416474746,0.7688787185354691,0.8019980595728041
105,2819133289,105|2819133289,Wind–Truth Lookahead,0.9078777171341137,0.88558352402746,0.8930149217296779
106,2819133290,106|2819133290,MCTS,0.5545454545454546,0.2777112760354321,0.3699893355387729
106,2819133290,106|2819133290,ROS–Mean,0.850486099266587,0.6971510653579124,0.7482627433274706
106,2819133290,106|2819133290,ROS–Truth,0.8515435783728467,0.7043332535312425,0.7534033618117773
106,2819133290,106|2819133290,Random Allocation,0.805475012792086,0.7687335408187694,0.7809806981432081
106,2819133290,106|2819133290,Structures–Exposure,0.8603957018591165,0.7028968158965765,0.7553964445507564
106,2819133290,106|2819133290,Structures–Outcome (Mean),0.8360566263005288,0.6940387838161359,0.7413780646442669
106,2819133290,106|2819133290,Structures–Outcome (Truth),0.5441753368582637,0.44481685420158007,0.47793634842047455
106,2819133290,106|2819133290,Wind–Mean,0.6266757632611291,0.7366531003112281,0.699993987961195
106,2819133290,106|2819133290,Wind–Mean Lookahead,0.8373187787821934,0.7249221929614555,0.7623877215683681
106,2819133290,106|2819133290,Wind–Truth,0.6266757632611291,0.7366531003112281,0.699993987961195
106,2819133290,106|2819133290,Wind–Truth Lookahead,0.841019955654102,0.7380895379458942,0.7723996771819635
107,2819133291,107|2819133291,MCTS,0.5083655524001779,0.4972214097689383,0.5009361239793515
107,2819133291,107|2819133291,ROS–Mean,0.6942895268074041,0.507165837964317,0.5695404009120126
107,2819133291,107|2819133291,ROS–Truth,0.7799808396345844,0.6124597835624451,0.6683001355864915
107,2819133291,107|2819133291,Random Allocation,0.7193519690696958,0.7879496928926587,0.765083784951671
107,2819133291,107|2819133291,Structures–Exposure,0.8655010777705546,0.6928926586721263,0.7504287983716025
107,2819133291,107|2819133291,Structures–Outcome (Mean),0.8478803845759059,0.6115823340157941,0.6903483508691647
107,2819133291,107|2819133291,Structures–Outcome (Truth),0.8658945495603381,0.6727113190991518,0.7371057292528805
107,2819133291,107|2819133291,Wind–Mean,0.7667396585349163,0.766013454226382,0.7662555223292267
107,2819133291,107|2819133291,Wind–Mean Lookahead,0.8754234098607452,0.7692307692307693,0.8046283161074278
107,2819133291,107|2819133291,Wind–Truth,0.7667396585349163,0.766013454226382,0.7662555223292267
107,2819133291,107|2819133291,Wind–Truth Lookahead,0.7815034043863551,0.7622111728575607,0.7686419167004921
108,2819133292,108|2819133292,MCTS,0.3880690185031052,0.29671261930010606,0.3271647523677724
108,2819133292,108|2819133292,ROS–Mean,0.8718707983865804,0.752067868504772,0.7920021784653748
108,2819133292,108|2819133292,ROS–Truth,0.8735354376080415,0.7376458112407211,0.7829423533631612
108,2819133292,108|2819133292,Random Allocation,0.611786926179653,0.5688229056203605,0.5831442458067914
108,2819133292,108|2819133292,Structures–Exposure,0.39600806709776554,0.2564156945917285,0.30294648542707414
108,2819133292,108|2819133292,Structures–Outcome (Mean),0.8467891670401434,0.6791092258748674,0.735002539596626
108,2819133292,108|2819133292,Structures–Outcome (Truth),0.8473013637236699,0.712407211028632,0.7573719285936447
108,2819133292,108|2819133292,Wind–Mean,0.7556981881042321,0.79915164369035,0.7846671584949773
108,2819133292,108|2819133292,Wind–Mean Lookahead,0.8424515013765286,0.7618239660657476,0.7886998111693413
108,2819133292,108|2819133292,Wind–Truth,0.7556981881042321,0.79915164369035,0.7846671584949773
108,2819133292,108|2819133292,Wind–Truth Lookahead,0.8569210576861515,0.7474019088016967,0.7839082917631816
10,1453340426,10|1453340426,MCTS,0.6771558460008524,0.4959318093762108,0.5563398215844246
10,1453340426,10|1453340426,ROS–Mean,0.8736894445233698,0.750484308407594,0.7915526871128524
10,1453340426,10|1453340426,ROS–Truth,0.8261116635885779,0.730530802014723,0.762391089206008
10,1453340426,10|1453340426,Random Allocation,0.8039636311976133,0.7249128244866331,0.7512630933902931
10,1453340426,10|1453340426,Structures–Exposure,0.9069612160818298,0.8266175900813638,0.8533987987481857
10,1453340426,10|1453340426,Structures–Outcome (Mean),0.8821849694558886,0.7462223944207671,0.7915432527658075
10,1453340426,10|1453340426,Structures–Outcome (Truth),0.8791589714448075,0.727237504843084,0.7778779937103252
10,1453340426,10|1453340426,Wind–Mean,0.7104134109958801,0.5633475397132894,0.6123694968074862
10,1453340426,10|1453340426,Wind–Mean Lookahead,0.8964483591419236,0.8301046106160402,0.8522191934580012
10,1453340426,10|1453340426,Wind–Truth,0.7104134109958801,0.5633475397132894,0.6123694968074862
10,1453340426,10|1453340426,Wind–Truth Lookahead,0.8964483591419236,0.8301046106160402,0.8522191934580012
11,1453340427,11|1453340427,MCTS,0.33069080926014466,0.3376915219611849,0.3353579510608381
11,1453340427,11|1453340427,ROS–Mean,0.8492681647824545,0.8279877425944842,0.8350812166571409
11,1453340427,11|1453340427,ROS–Truth,0.8731588444869441,0.8081716036772216,0.8298340172804624
11,1453340427,11|1453340427,Random Allocation,0.7673396363187686,0.7975485188968335,0.7874788913708118
11,1453340427,11|1453340427,Structures–Exposure,0.8382559341116955,0.6847803881511747,0.7359389034713483
11,1453340427,11|1453340427,Structures–Outcome (Mean),0.8358961703965329,0.6884576098059244,0.7376037966694605
11,1453340427,11|1453340427,Structures–Outcome (Truth),0.810308928543887,0.6862104187946885,0.7275765887110879
11,1453340427,11|1453340427,Wind–Mean,0.8878418187146229,0.8551583248212462,0.866052822785705
11,1453340427,11|1453340427,Wind–Mean Lookahead,0.8634267470734303,0.8081716036772216,0.8265899848092911
