strategy,n_runs,mean_norm_area,std_norm_area,mean_norm_bldg,std_norm_bldg,mean_composite,std_composite
MCTS,100,0.5784257745230375,0.186908430805716,0.45344625156640606,0.1889830784061647,0.49510609255194976,0.1838752607497255
Structures–Outcome (Truth),100,0.7003314424394605,0.14727379476807892,0.5225879909702921,0.19354169225452192,0.5818358081266816,0.176142056737649
ROS–Truth,100,0.7643066026536485,0.12375723702456205,0.6300020913486779,0.15672537048810162,0.6747702617836682,0.14291706668876256
Structures–Exposure,100,0.7811245492827521,0.11311088279325604,0.6304017388158067,0.13152796081480025,0.6806426756381218,0.12275311018610453
ROS–Mean,100,0.7756475743938119,0.12280965498175528,0.6474840760415149,0.1639369584449617,0.6902052421589473,0.14800490658491344
Structures–Outcome (Mean),100,0.8062894147298468,0.072564507521572,0.6418463875580579,0.1029648991212762,0.6966607299486541,0.09000084202714381
Wind–Mean,100,0.7485108123851347,0.11902217336893509,0.7104483549986423,0.1385925418147411,0.7231358407941398,0.1265878133310576
Wind–Truth,100,0.747299182402397,0.12194285625271091,0.7118297501792367,0.1398191080725867,0.7236528942536233,0.1283706019671467
Random Allocation,100,0.7642351068108407,0.10847030846451257,0.7099676864120629,0.13192575194583897,0.7280568265449888,0.11831724720628052
Wind–Truth Lookahead,100,0.792763490666426,0.09312453004201095,0.7350754308226086,0.11327698352376321,0.754304784103881,0.1025055764431654
Wind–Mean Lookahead,100,0.7995883241467093,0.09140577180744318,0.7325683597464508,0.11780207898502106,0.7549083478798703,0.10559716739536949
