strategy,n_runs,mean_norm_area,std_norm_area_x,mean_norm_bldg,std_norm_bldg_x,mean_composite,std_composite_x,std_norm_area_y,se_norm_area,std_norm_bldg_y,se_norm_bldg,std_composite_y,se_composite
MCTS,100,0.5784257745230375,0.186908430805716,0.45344625156640606,0.1889830784061647,0.49510609255194976,0.1838752607497255,0.186908430805716,0.018690843080571607,0.1889830784061647,0.018898307840616472,0.1838752607497255,0.01838752607497255
Structures–Outcome (Truth),100,0.7003314424394605,0.14727379476807892,0.5225879909702921,0.19354169225452192,0.5818358081266816,0.176142056737649,0.14727379476807892,0.014727379476807889,0.19354169225452192,0.019354169225452193,0.176142056737649,0.017614205673764902
ROS–Truth,100,0.7643066026536485,0.12375723702456205,0.6300020913486779,0.15672537048810162,0.6747702617836682,0.14291706668876256,0.12375723702456205,0.0123757237024562,0.15672537048810162,0.01567253704881016,0.14291706668876256,0.01429170666887625
Structures–Exposure,100,0.7811245492827521,0.11311088279325604,0.6304017388158067,0.13152796081480025,0.6806426756381218,0.12275311018610453,0.11311088279325604,0.011311088279325603,0.13152796081480025,0.013152796081480022,0.12275311018610453,0.012275311018610457
ROS–Mean,100,0.7756475743938119,0.12280965498175528,0.6474840760415149,0.1639369584449617,0.6902052421589473,0.14800490658491344,0.12280965498175528,0.012280965498175525,0.1639369584449617,0.016393695844496164,0.14800490658491344,0.014800490658491344
Structures–Outcome (Mean),100,0.8062894147298468,0.072564507521572,0.6418463875580579,0.1029648991212762,0.6966607299486541,0.09000084202714381,0.072564507521572,0.0072564507521572,0.1029648991212762,0.010296489912127624,0.09000084202714381,0.009000084202714382
Wind–Mean,100,0.7485108123851347,0.11902217336893509,0.7104483549986423,0.1385925418147411,0.7231358407941398,0.1265878133310576,0.11902217336893509,0.01190221733689351,0.1385925418147411,0.01385925418147411,0.1265878133310576,0.012658781333105763
Wind–Truth,100,0.747299182402397,0.12194285625271091,0.7118297501792367,0.1398191080725867,0.7236528942536233,0.1283706019671467,0.12194285625271091,0.012194285625271088,0.1398191080725867,0.013981910807258668,0.1283706019671467,0.01283706019671467
Random Allocation,100,0.7642351068108407,0.10847030846451257,0.7099676864120629,0.13192575194583897,0.7280568265449888,0.11831724720628052,0.10847030846451257,0.010847030846451259,0.13192575194583897,0.013192575194583897,0.11831724720628052,0.011831724720628052
Wind–Truth Lookahead,100,0.792763490666426,0.09312453004201095,0.7350754308226086,0.11327698352376321,0.754304784103881,0.1025055764431654,0.09312453004201095,0.009312453004201096,0.11327698352376321,0.011327698352376323,0.1025055764431654,0.010250557644316542
Wind–Mean Lookahead,100,0.7995883241467093,0.09140577180744318,0.7325683597464508,0.11780207898502106,0.7549083478798703,0.10559716739536949,0.09140577180744318,0.009140577180744318,0.11780207898502106,0.011780207898502109,0.10559716739536949,0.010559716739536956
