run,seed,baseline_area,baseline_buildings,baseline_bldg_breakdown,strategy,script,area_score,buildings_destroyed,bldg_breakdown,seconds,returncode,log_file
0,3883358208,285739,4229,"{""11"": 1266, ""12"": 1337, ""13"": 1542, ""14"": 13, ""21"": 3, ""22"": 31, ""23"": 37}",ics_buildings,ics_buildings_NO_PLOTTING.py,157490.0,1625.0,"{""11"":799,""12"":671,""13"":117,""21"":1,""22"":18,""23"":19}",52,0,C:\Users\Omar\PycharmProjects\PythonProject\results_3004_esperenza_high\run00\20251023_112603_ics_buildings.log
0,3883358208,285739,4229,"{""11"": 1266, ""12"": 1337, ""13"": 1542, ""14"": 13, ""21"": 3, ""22"": 31, ""23"": 37}",ics_mean_burned_buildings,ics_mean_burned_buildings_NO_PLOTTING.py,223340.0,2827.0,"{""11"":1014,""12"":993,""13"":774,""21"":1,""22"":23,""23"":22}",52,0,C:\Users\Omar\PycharmProjects\PythonProject\results_3004_esperenza_high\run00\20251023_112655_ics_mean_burned_buildings.log
0,3883358208,285739,4229,"{""11"": 1266, ""12"": 1337, ""13"": 1542, ""14"": 13, ""21"": 3, ""22"": 31, ""23"": 37}",ics_truth_burned_buildings,ics_truth_burned_buildings_NO_PLOTTING.py,217679.0,2534.0,"{""11"":920,""12"":948,""13"":620,""21"":1,""22"":23,""23"":22}",64,0,C:\Users\Omar\PycharmProjects\PythonProject\results_3004_esperenza_high\run00\20251023_112748_ics_truth_burned_buildings.log
0,3883358208,285739,4229,"{""11"": 1266, ""12"": 1337, ""13"": 1542, ""14"": 13, ""21"": 3, ""22"": 31, ""23"": 37}",random,random_allocations_NO_PLOTTING.py,161297.0,304.0,"{""11"":287,""13"":6,""14"":11}",47,0,C:\Users\Omar\PycharmProjects\PythonProject\results_3004_esperenza_high\run00\20251023_112852_random.log
0,3883358208,285739,4229,"{""11"": 1266, ""12"": 1337, ""13"": 1542, ""14"": 13, ""21"": 3, ""22"": 31, ""23"": 37}",ics_ros_weighted,ics_ros_weighted_NO_PLOTTING.py,205001.0,1101.0,"{""11"":690,""12"":287,""13"":109,""14"":13,""22"":2}",56,0,C:\Users\Omar\PycharmProjects\PythonProject\results_3004_esperenza_high\run00\20251023_112940_ics_ros_weighted.log
0,3883358208,285739,4229,"{""11"": 1266, ""12"": 1337, ""13"": 1542, ""14"": 13, ""21"": 3, ""22"": 31, ""23"": 37}",ics_dynamic_truth_lookahead,ics_dynamic_truth_lookahead_NO_PLOTTING.py,187907.0,839.0,"{""11"":598,""12"":66,""13"":160,""14"":13,""21"":1,""23"":1}",51,0,C:\Users\Omar\PycharmProjects\PythonProject\results_3004_esperenza_high\run00\20251023_113036_ics_dynamic_truth_lookahead.log
0,3883358208,285739,4229,"{""11"": 1266, ""12"": 1337, ""13"": 1542, ""14"": 13, ""21"": 3, ""22"": 31, ""23"": 37}",ics_ros_weighted_mean,ics_ros_weighted_mean_NO_PLOTTING.py,254012.0,2022.0,"{""11"":1025,""12"":674,""13"":272,""14"":13,""21"":1,""22"":18,""23"":19}",63,0,C:\Users\Omar\PycharmProjects\PythonProject\results_3004_esperenza_high\run00\20251023_113127_ics_ros_weighted_mean.log
0,3883358208,285739,4229,"{""11"": 1266, ""12"": 1337, ""13"": 1542, ""14"": 13, ""21"": 3, ""22"": 31, ""23"": 37}",ics_dynamic_mean_lookahead,ics_dynamic_mean_lookahead_NO_PLOTTING.py,180184.0,692.0,"{""11"":461,""12"":66,""13"":152,""14"":13}",51,0,C:\Users\Omar\PycharmProjects\PythonProject\results_3004_esperenza_high\run00\20251023_113231_ics_dynamic_mean_lookahead.log
0,3883358208,285739,4229,"{""11"": 1266, ""12"": 1337, ""13"": 1542, ""14"": 13, ""21"": 3, ""22"": 31, ""23"": 37}",ics_dynamic_mean,ics_dynamic_mean_NO_PLOTTING.py,223538.0,1479.0,"{""11"":928,""12"":433,""13"":112,""22"":6}",46,0,C:\Users\Omar\PycharmProjects\PythonProject\results_3004_esperenza_high\run00\20251023_113322_ics_dynamic_mean.log
0,3883358208,285739,4229,"{""11"": 1266, ""12"": 1337, ""13"": 1542, ""14"": 13, ""21"": 3, ""22"": 31, ""23"": 37}",ics_dynamic,ics_dynamic_NO_PLOTTING.py,221364.0,1602.0,"{""11"":1014,""12"":461,""13"":113,""22"":13,""23"":1}",47,0,C:\Users\Omar\PycharmProjects\PythonProject\results_3004_esperenza_high\run00\20251023_113409_ics_dynamic.log
0,3883358208,285739,4229,"{""11"": 1266, ""12"": 1337, ""13"": 1542, ""14"": 13, ""21"": 3, ""22"": 31, ""23"": 37}",mcts,dashboard_NO_PLOTTING.py,89332.0,215.0,"{""11"":215}",35910,0,C:\Users\Omar\PycharmProjects\PythonProject\results_3004_esperenza_high\run00\20251023_113456_mcts.log
1,3883358209,347878,1725,"{""11"": 1282, ""12"": 185, ""13"": 233, ""21"": 15, ""22"": 10}",ics_buildings,ics_buildings_NO_PLOTTING.py,302871.0,1142.0,"{""11"":1024,""12"":57,""13"":47,""21"":11,""22"":3}",59,0,C:\Users\Omar\PycharmProjects\PythonProject\results_3004_esperenza_high\run01\20251023_213327_ics_buildings.log
1,3883358209,347878,1725,"{""11"": 1282, ""12"": 185, ""13"": 233, ""21"": 15, ""22"": 10}",ics_mean_burned_buildings,ics_mean_burned_buildings_NO_PLOTTING.py,264112.0,1000.0,"{""11"":910,""12"":37,""13"":41,""21"":12}",60,0,C:\Users\Omar\PycharmProjects\PythonProject\results_3004_esperenza_high\run01\20251023_213426_ics_mean_burned_buildings.log
1,3883358209,347878,1725,"{""11"": 1282, ""12"": 185, ""13"": 233, ""21"": 15, ""22"": 10}",ics_truth_burned_buildings,ics_truth_burned_buildings_NO_PLOTTING.py,291590.0,888.0,"{""11"":839,""12"":16,""13"":21,""21"":12}",73,0,C:\Users\Omar\PycharmProjects\PythonProject\results_3004_esperenza_high\run01\20251023_213526_ics_truth_burned_buildings.log
1,3883358209,347878,1725,"{""11"": 1282, ""12"": 185, ""13"": 233, ""21"": 15, ""22"": 10}",random,random_allocations_NO_PLOTTING.py,293588.0,1257.0,"{""11"":1099,""12"":69,""13"":70,""21"":14,""22"":5}",49,0,C:\Users\Omar\PycharmProjects\PythonProject\results_3004_esperenza_high\run01\20251023_213640_random.log
1,3883358209,347878,1725,"{""11"": 1282, ""12"": 185, ""13"": 233, ""21"": 15, ""22"": 10}",ics_ros_weighted,ics_ros_weighted_NO_PLOTTING.py,190500.0,1281.0,"{""11"":1155,""12"":51,""13"":62,""21"":12,""22"":1}",54,0,C:\Users\Omar\PycharmProjects\PythonProject\results_3004_esperenza_high\run01\20251023_213730_ics_ros_weighted.log
1,3883358209,347878,1725,"{""11"": 1282, ""12"": 185, ""13"": 233, ""21"": 15, ""22"": 10}",ics_dynamic_truth_lookahead,ics_dynamic_truth_lookahead_NO_PLOTTING.py,256904.0,1255.0,"{""11"":1115,""12"":68,""13"":54,""21"":13,""22"":5}",48,0,C:\Users\Omar\PycharmProjects\PythonProject\results_3004_esperenza_high\run01\20251023_213825_ics_dynamic_truth_lookahead.log
1,3883358209,347878,1725,"{""11"": 1282, ""12"": 185, ""13"": 233, ""21"": 15, ""22"": 10}",ics_ros_weighted_mean,ics_ros_weighted_mean_NO_PLOTTING.py,189032.0,1237.0,"{""11"":1128,""12"":33,""13"":64,""21"":12}",57,0,C:\Users\Omar\PycharmProjects\PythonProject\results_3004_esperenza_high\run01\20251023_213913_ics_ros_weighted_mean.log
1,3883358209,347878,1725,"{""11"": 1282, ""12"": 185, ""13"": 233, ""21"": 15, ""22"": 10}",ics_dynamic_mean_lookahead,ics_dynamic_mean_lookahead_NO_PLOTTING.py,249060.0,1037.0,"{""11"":934,""12"":48,""13"":40,""21"":12,""22"":3}",60,0,C:\Users\Omar\PycharmProjects\PythonProject\results_3004_esperenza_high\run01\20251023_214011_ics_dynamic_mean_lookahead.log
1,3883358209,347878,1725,"{""11"": 1282, ""12"": 185, ""13"": 233, ""21"": 15, ""22"": 10}",ics_dynamic_mean,ics_dynamic_mean_NO_PLOTTING.py,291110.0,1230.0,"{""11"":1087,""12"":66,""13"":60,""21"":12,""22"":5}",51,0,C:\Users\Omar\PycharmProjects\PythonProject\results_3004_esperenza_high\run01\20251023_214112_ics_dynamic_mean.log
1,3883358209,347878,1725,"{""11"": 1282, ""12"": 185, ""13"": 233, ""21"": 15, ""22"": 10}",ics_dynamic,ics_dynamic_NO_PLOTTING.py,290076.0,1210.0,"{""11"":1069,""12"":63,""13"":62,""21"":11,""22"":5}",48,0,C:\Users\Omar\PycharmProjects\PythonProject\results_3004_esperenza_high\run01\20251023_214204_ics_dynamic.log
1,3883358209,347878,1725,"{""11"": 1282, ""12"": 185, ""13"": 233, ""21"": 15, ""22"": 10}",mcts,dashboard_NO_PLOTTING.py,178704.0,964.0,"{""11"":901,""12"":25,""13"":26,""21"":12}",41671,0,C:\Users\Omar\PycharmProjects\PythonProject\results_3004_esperenza_high\run01\20251023_233859_mcts.log
2,3204768514,322129,6925,"{""11"": 1834, ""12"": 2151, ""13"": 2769, ""14"": 21, ""21"": 22, ""22"": 54, ""23"": 74}",ics_buildings,ics_buildings_NO_PLOTTING.py,274823.0,3377.0,"{""11"":1120,""12"":1039,""13"":1150,""14"":21,""21"":2,""22"":32,""23"":13}",61,0,C:\Users\Omar\PycharmProjects\PythonProject\results_3004_esperenza_high\run02\20251024_111331_ics_buildings.log
2,3204768514,322129,6925,"{""11"": 1834, ""12"": 2151, ""13"": 2769, ""14"": 21, ""21"": 22, ""22"": 54, ""23"": 74}",ics_mean_burned_buildings,ics_mean_burned_buildings_NO_PLOTTING.py,150285.0,829.0,"{""11"":776,""12"":21,""13"":20,""21"":12}",50,0,C:\Users\Omar\PycharmProjects\PythonProject\results_3004_esperenza_high\run02\20251024_111433_ics_mean_burned_buildings.log
2,3204768514,322129,6925,"{""11"": 1834, ""12"": 2151, ""13"": 2769, ""14"": 21, ""21"": 22, ""22"": 54, ""23"": 74}",ics_truth_burned_buildings,ics_truth_burned_buildings_NO_PLOTTING.py,150267.0,836.0,"{""11"":782,""12"":22,""13"":20,""21"":12}",49,0,C:\Users\Omar\PycharmProjects\PythonProject\results_3004_esperenza_high\run02\20251024_111523_ics_truth_burned_buildings.log
2,3204768514,322129,6925,"{""11"": 1834, ""12"": 2151, ""13"": 2769, ""14"": 21, ""21"": 22, ""22"": 54, ""23"": 74}",random,random_allocations_NO_PLOTTING.py,284241.0,4977.0,"{""11"":1628,""12"":1506,""13"":1698,""14"":21,""21"":16,""22"":48,""23"":60}",67,0,C:\Users\Omar\PycharmProjects\PythonProject\results_3004_esperenza_high\run02\20251024_111612_random.log
2,3204768514,322129,6925,"{""11"": 1834, ""12"": 2151, ""13"": 2769, ""14"": 21, ""21"": 22, ""22"": 54, ""23"": 74}",ics_ros_weighted,ics_ros_weighted_NO_PLOTTING.py,259453.0,2336.0,"{""11"":1234,""12"":518,""13"":523,""14"":21,""21"":12,""22"":5,""23"":23}",67,0,C:\Users\Omar\PycharmProjects\PythonProject\results_3004_esperenza_high\run02\20251024_111720_ics_ros_weighted.log
2,3204768514,322129,6925,"{""11"": 1834, ""12"": 2151, ""13"": 2769, ""14"": 21, ""21"": 22, ""22"": 54, ""23"": 74}",ics_dynamic_truth_lookahead,ics_dynamic_truth_lookahead_NO_PLOTTING.py,188814.0,1302.0,"{""11"":810,""12"":99,""13"":368,""14"":21,""21"":1,""23"":3}",49,0,C:\Users\Omar\PycharmProjects\PythonProject\results_3004_esperenza_high\run02\20251024_111828_ics_dynamic_truth_lookahead.log
2,3204768514,322129,6925,"{""11"": 1834, ""12"": 2151, ""13"": 2769, ""14"": 21, ""21"": 22, ""22"": 54, ""23"": 74}",ics_ros_weighted_mean,ics_ros_weighted_mean_NO_PLOTTING.py,224440.0,1780.0,"{""11"":1088,""12"":151,""13"":503,""14"":21,""21"":12,""23"":5}",69,0,C:\Users\Omar\PycharmProjects\PythonProject\results_3004_esperenza_high\run02\20251024_111918_ics_ros_weighted_mean.log
2,3204768514,322129,6925,"{""11"": 1834, ""12"": 2151, ""13"": 2769, ""14"": 21, ""21"": 22, ""22"": 54, ""23"": 74}",ics_dynamic_mean_lookahead,ics_dynamic_mean_lookahead_NO_PLOTTING.py,188675.0,1320.0,"{""11"":835,""12"":98,""13"":360,""14"":21,""21"":3,""23"":3}",50,0,C:\Users\Omar\PycharmProjects\PythonProject\results_3004_esperenza_high\run02\20251024_112028_ics_dynamic_mean_lookahead.log
2,3204768514,322129,6925,"{""11"": 1834, ""12"": 2151, ""13"": 2769, ""14"": 21, ""21"": 22, ""22"": 54, ""23"": 74}",ics_dynamic_mean,ics_dynamic_mean_NO_PLOTTING.py,277300.0,6224.0,"{""11"":1781,""12"":1922,""13"":2353,""14"":21,""21"":22,""22"":52,""23"":73}",44,0,C:\Users\Omar\PycharmProjects\PythonProject\results_3004_esperenza_high\run02\20251024_112118_ics_dynamic_mean.log
2,3204768514,322129,6925,"{""11"": 1834, ""12"": 2151, ""13"": 2769, ""14"": 21, ""21"": 22, ""22"": 54, ""23"": 74}",ics_dynamic,ics_dynamic_NO_PLOTTING.py,279689.0,6391.0,"{""11"":1784,""12"":1933,""13"":2506,""14"":21,""21"":22,""22"":52,""23"":73}",45,0,C:\Users\Omar\PycharmProjects\PythonProject\results_3004_esperenza_high\run02\20251024_112202_ics_dynamic.log
2,3204768514,322129,6925,"{""11"": 1834, ""12"": 2151, ""13"": 2769, ""14"": 21, ""21"": 22, ""22"": 54, ""23"": 74}",mcts,dashboard_NO_PLOTTING.py,151132.0,837.0,"{""11"":783,""12"":22,""13"":20,""21"":12}",42380,0,C:\Users\Omar\PycharmProjects\PythonProject\results_3004_esperenza_high\run02\20251024_112248_mcts.log
