start_min,end_min,speed_mean,speed_std,dir_mean,dir_std
0,120,32.5,1.0,5.0,10.0
120,240,37.5,2.0,25.0,15.0
240,360,47.5,3.0,25.0,20.0
360,480,37.5,4.0,15.0,25.0
480,600,37.5,5.0,2.5,30.0
600,720,31.5,5.0,5.0,30.0
720,840,30.0,5.0,0.0,30.0
840,960,26.5,5.0,0.0,30.0
960,1080,32.5,5.0,0.0,30.0
1080,1200,30.0,5.0,2.5,30.0
1200,1320,30.0,5.0,5.0,30.0
1320,1440,27.5,5.0,15.0,30.0
1440,1560,25.0,5.0,5.0,30.0
1560,1680,22.5,5.0,7.5,30.0
1680,1800,20.0,5.0,10.0,30.0
1800,1920,25.0,5.0,10.0,30.0
1920,2040,22.5,5.0,15.0,30.0
2040,2160,17.5,5.0,5.0,30.0
2160,2280,12.0,5.0,5.0,30.0
2280,2400,6.5,5.0,5.0,30.0
2400,2520,7.5,5.0,5.0,30.0
2520,2640,7.0,5.0,242.0,30.0
2640,2760,6.0,5.0,235.0,30.0
2760,2880,9.5,5.0,275.0,30.0
2880,3000,5.5,5.0,247.5,30.0
3000,3000,1.0,5.0,106.0,30.0
