start_min,end_min,speed_mean,speed_std,dir_mean,dir_std
0,120,4.5,1.0,87.5,20.0
120,240,8.5,2.0,274.5,30.0
240,360,9.5,3.0,156.5,40.0
360,480,7.5,4.0,18.0,50.0
480,600,15.5,5.0,328.0,60.0
600,720,15.5,5.0,298.5,60.0
720,840,10.0,5.0,356.0,60.0
840,960,9.0,5.0,337.5,60.0
960,1080,8.0,5.0,284.0,60.0
1080,1200,13.5,5.0,253.5,60.0
1200,1320,18.0,5.0,232.0,60.0
1320,1440,16.5,5.0,300.0,60.0
1440,1560,19.0,5.0,297.5,60.0
1560,1680,17.5,5.0,266.0,60.0
1680,1800,15.5,5.0,336.5,60.0
1800,1920,16.5,5.0,30.5,60.0
1920,2040,10.0,5.0,332.0,60.0
2040,2160,8.0,5.0,283.0,60.0
2160,2280,8.5,5.0,343.0,60.0
2280,2400,6.5,5.0,342.5,60.0
2400,2520,7.5,5.0,247.0,60.0
2520,2640,7.0,5.0,242.0,60.0
2640,2760,6.0,5.0,235.0,60.0
2760,2880,0.5,5.0,275.0,60.0
2880,3000,0.0,5.0,247.5,60.0
3000,3000,1.0,5.0,106.0,60.0
