start_min,end_min,speed_mean,speed_std,dir_mean,dir_std
0,120,9.83,1.0,234.07,5.0
120,240,14.38,1.01,241.93,5.05
240,360,14.39,1.06,242.37,5.22
360,480,17.34,1.13,252.02,5.49
480,600,18.68,1.23,258.28,5.86
600,720,15.41,1.36,258.12,6.35
720,840,8.34,1.52,260.74,6.94
840,960,5.56,1.71,259.13,7.65
960,1080,2.14,1.92,252.38,8.46
1080,1200,5.24,2.17,253.57,9.37
1200,1320,2.71,2.44,251.7,10.4
1320,1440,8.82,2.74,237.22,11.53
1440,1560,9.3,3.07,231.39,12.78
1560,1680,15.03,3.43,218.94,14.13
1680,1800,17.87,3.82,214.3,15.58
1800,1920,17.38,4.24,207.83,17.15
1920,2000,16.66,4.69,204.34,18.82
